['15', '6', '1', '13']
['108', '117', '109', '105']
['102', '103', '94', '99']
['481', '489', '492', '493']
['142', '141', '140', '137']
['238', '233', '239', '237']
['173', '174', '175', '170']
['153', '161', '156', '165']
['487', '478', '485', '473']
['21', '23', '14', '9']
['190', '191', '189', '185']
['213', '208', '221', '209']
['455', '453', '441', '444']
['391', '382', '380', '377']
['277', '265', '264', '269']
['107', '106', '111', '110']
['230', '225', '228', '229']
['375', '371', '366', '374']
['151', '145', '148', '150']
['53', '55', '49', '54']
['311', '302', '303', '299']
['25', '39', '30', '37']
['198', '193', '195', '207']
['289', '292', '291', '294']
['425', '437', '430', '432']
['417', '421', '412', '409']
['399', '390', '394', '387']
['290', '295', '293', '288']
['358', '347', '350', '359']
['446', '442', '447', '443']
['405', '407', '398', '393']
['285', '281', '287', '286']
['414', '411', '415', '410']
['182', '183', '181', '179']
['477', '465', '474', '479']
['337', '349', '345', '351']
['373', '365', '361', '369']
['222', '214', '223', '219']
['26', '31', '22', '19']
['255', '241', '246', '253']
['257', '263', '259', '262']
['133', '135', '134', '129']
['406', '404', '413', '401']
['93', '90', '95', '89']
['461', '449', '463', '454']
['249', '261', '256', '254']
['376', '381', '383', '378']
['126', '121', '124', '123']
['65', '71', '70', '69']
['429', '422', '431', '424']
['433', '439', '438', '436']
['469', '471', '457', '462']
['305', '309', '317', '297']
['397', '384', '385', '389']
['278', '279', '273', '274']
['245', '247', '242', '240']
['118', '120', '127', '125']
['58', '56', '61', '63']
['5', '0', '7', '2']
['307', '318', '319', '310']
['163', '162', '167', '166']
['490', '495', '494', '491']
['341', '339', '342', '343']
['335', '326', '333', '328']
['74', '79', '77', '72']
['155', '158', '159', '154']
['271', '270', '266', '267']
['316', '325', '313', '321']
['197', '192', '194', '199']
['200', '205', '201', '206']
['47', '36', '33', '45']
['87', '85', '73', '78']
['57', '60', '59', '62']
['329', '334', '331', '332']
['44', '41', '46', '43']
['84', '83', '86', '81']
['356', '434', '353', '357']
['17', '388', '24', '29']
['96', '211', '101', '97']
['144', '451', '149', '459']
['282', '231', '226', '306']
['392', '418', '395', '423']
['367', '132', '362', '408']
['452', '460', '217', '220']
['386', '116', '171', '113']
['275', '152', '82', '157']
['76', '210', '215', '272']
['330', '296', '139', '301']
['232', '216', '467', '470']
['440', '400', '8', '445']
['38', '458', '98', '35']
['180', '354', '177', '300']
['268', '483', '486', '419']
['323', '322', '416', '327']
['138', '184', '143', '364']
['169', '420', '178', '172']
['260', '235', '114', '119']
['188', '276', '32', '4']
['130', '472', '224', '12']
['315', '196', '320', '448']
['363', '396', '324', '427']
['360', '112', '18', '66']
['283', '250', '80', '348']
['160', '355', '128', '482']
['402', '20', '368', '218']
['212', '468', '372', '234']
['27', '308', '475', '88']
['338', '340', '236', '248']
['42', '100', '476', '227']
['115', '203', '51', '403']
['346', '251', '48', '16']
['91', '312', '131', '466']
['336', '186', '11', '147']
['34', '258', '314', '10']
['344', '243', '168', '204']
['464', '435', '370', '136']
['67', '252', '456', '280']
['450', '104', '75', '64']
['488', '52', '68', '122']
['92', '202', '28', '284']
['484', '187', '379', '352']
['164', '304', '428', '146']
['244', '3', '480', '298']
['40', '176', '426', '50']
