['268', '253', '144', '2', '354', '249', '52', '482', '444', '280', '305', '163', '106', '477', '89', '236', '391', '34', '53', '127', '314', '353', '235']
['164', '352', '339', '390', '346', '251', '93', '394', '130', '246', '350', '384', '12', '370', '493', '149', '27', '146', '103', '150', '419', '37', '415']
['423', '56', '0', '461', '185', '401', '338', '294', '375', '276', '496', '347', '61', '287', '372', '398', '205', '476', '363', '492', '177', '151', '318']
['168', '172', '413', '157', '271', '161', '467', '222', '427', '110', '83', '478', '457', '87', '193', '112', '313', '303', '454', '141', '466', '44', '125']
['329', '148', '123', '387', '358', '210', '30', '470', '328', '45', '91', '258', '434', '90', '431', '336', '428', '128', '85', '307', '325', '494', '348']
['98', '201', '381', '19', '312', '241', '480', '166', '432', '21', '471', '417', '242', '156', '293', '458', '218', '460', '443', '203', '8', '421', '283']
['43', '78', '138', '70', '291', '160', '282', '264', '48', '136', '487', '20', '40', '145', '117', '4', '289', '364', '217', '140', '468', '96', '244']
['154', '309', '406', '224', '216', '7', '69', '11', '31', '207', '39', '16', '362', '405', '341', '288', '369', '46', '418', '485', '412', '116', '57']
['6', '92', '232', '320', '281', '302', '26', '292', '469', '379', '261', '122', '189', '99', '272', '200', '453', '402', '448', '267', '403', '213', '278']
['263', '486', '377', '299', '463', '484', '327', '262', '455', '435', '171', '80', '498', '433', '495', '199', '50', '424', '226', '445', '497', '446', '65']
['178', '15', '182', '255', '296', '170', '102', '55', '223', '388', '425', '41', '209', '326', '243', '134', '68', '124', '104', '234', '14', '340', '114']
['1', '237', '105', '275', '383', '100', '47', '71', '101', '137', '331', '142', '9', '472', '449', '147', '94', '62', '499', '397', '158', '351', '319']
['441', '265', '187', '155', '345', '194', '63', '464', '181', '32', '298', '175', '252', '368', '330', '442', '206', '357', '323', '220', '5', '22', '60']
['153', '77', '72', '324', '344', '228', '28', '219', '386', '59', '376', '24', '248', '79', '310', '286', '66', '374', '481', '215', '64', '3', '113']
['186', '260', '322', '489', '196', '54', '321', '191', '238', '456', '270', '212', '396', '107', '188', '430', '211', '245', '247', '392', '73', '365', '277']
['118', '240', '447', '126', '360', '225', '452', '10', '109', '120', '184', '317', '119', '366', '426', '437', '404', '315', '176', '440', '479', '474', '380']
['192', '86', '266', '25', '361', '429', '316', '395', '38', '179', '198', '279', '367', '33', '231', '82', '204', '473', '300', '197', '239', '18', '75']
['81', '343', '465', '121', '349', '284', '97', '297', '143', '416', '414', '257', '214', '378', '304', '233', '301', '400', '385', '250', '285', '333', '152']
['129', '462', '407', '420', '451', '74', '133', '399', '95', '111', '308', '259', '221', '295', '290', '29', '450', '36', '165', '76', '422', '332', '408']
['132', '227', '459', '410', '42', '306', '355', '108', '335', '439', '169', '254', '409', '35', '51', '491', '359', '393', '389', '311', '475', '159', '49']
['17', '135', '183', '67', '88', '436', '84', '269', '174', '256', '334', '139', '202', '229', '190', '167', '173', '58', '411', '373', '371', '273', '490']
['438', '488', '230', '23', '13', '274', '208', '382', '195', '356', '131', '337', '180', '342', '483', '162', '115']
