['19', '135', '40']
['80', '363', '88']
['260', '58', '422']
['129', '31', '14']
['407', '425', '390']
['373', '191', '286']
['50', '106', '420']
['414', '456', '201']
['285', '438', '354']
['188', '304', '198']
['292', '143', '128']
['406', '316', '13']
['359', '127', '161']
['370', '38', '297']
['472', '239', '464']
['364', '220', '324']
['199', '273', '83']
['485', '334', '30']
['269', '308', '401']
['55', '455', '417']
['141', '367', '484']
['162', '471', '5']
['396', '39', '22']
['448', '20', '34']
['131', '254', '7']
['234', '300', '4']
['79', '429', '12']
['193', '281', '310']
['231', '255', '476']
['247', '399', '210']
['146', '105', '481']
['392', '230', '116']
['388', '108', '139']
['218', '233', '389']
['86', '412', '45']
['350', '271', '288']
['419', '452', '268']
['102', '391', '37']
['320', '138', '62']
['78', '32', '415']
['154', '25', '416']
['278', '465', '110']
['100', '206', '41']
['117', '159', '256']
['394', '241', '250']
['488', '385', '318']
['319', '64', '434']
['118', '348', '378']
['453', '330', '172']
['155', '361', '196']
['207', '114', '236']
['442', '228', '6']
['170', '337', '27']
['47', '242', '164']
['33', '95', '26']
['362', '282', '56']
['355', '185', '174']
['21', '306', '262']
['44', '77', '103']
['343', '441', '492']
['109', '349', '314']
['112', '499', '380']
['482', '352', '186']
['73', '36', '180']
['92', '224', '76']
['462', '216', '213']
['459', '136', '42']
['439', '275', '490']
['251', '182', '181']
['91', '133', '302']
['404', '382', '384']
['486', '498', '107']
['383', '408', '72']
['43', '249', '489']
['153', '377', '94']
['243', '85', '48']
['445', '293', '23']
['10', '101', '183']
['165', '290', '274']
['447', '299', '283']
['451', '284', '97']
['395', '54', '225']
['469', '372', '205']
['1', '142', '59']
['98', '444', '478']
['51', '432', '435']
['335', '173', '270']
['351', '398', '134']
['446', '328', '495']
['294', '397', '3']
['449', '475', '423']
['339', '259', '171']
['405', '209', '421']
['374', '227', '120']
['160', '99', '413']
['326', '463', '0']
['480', '427', '295']
['84', '69', '426']
['313', '217', '303']
['132', '126', '229']
['360', '190', '474']
['279', '431', '347']
['169', '167', '89']
['402', '468', '200']
['29', '366', '140']
['296', '246', '365']
['71', '473', '156']
['122', '418', '147']
['248', '177', '28']
['258', '235', '371']
['428', '35', '307']
['443', '124', '65']
['158', '125', '96']
['311', '104', '491']
['333', '66', '2']
['424', '440', '305']
['430', '8', '353']
['244', '264', '221']
['179', '252', '265']
['387', '263', '74']
['467', '240', '150']
['291', '16', '70']
['9', '168', '461']
['433', '410', '312']
['144', '15', '145']
['323', '436', '82']
['287', '280', '379']
['46', '53', '289']
['245', '163', '195']
['90', '49', '204']
['483', '375', '226']
['376', '317', '184']
['494', '214', '238']
['17', '202', '386']
['208', '409', '192']
['329', '496', '61']
['24', '253', '336']
['68', '187', '119']
['458', '346', '368']
['437', '267', '454']
['211', '345', '197']
['358', '301', '493']
['403', '325', '178']
['203', '470', '176']
['81', '357', '356']
['497', '151', '57']
['75', '466', '123']
['340', '63', '277']
['137', '332', '400']
['261', '393', '460']
['60']
['344']
['477']
['327']
['175']
['457']
['219']
['276']
['322']
['450']
['11']
['411']
['315']
['341']
['369']
['215']
['113']
['152']
['148']
['52']
['212']
['237']
['121']
['67']
['266']
['232']
['479']
['381']
['157']
['342']
['87']
['18']
['149']
['298']
['257']
['93']
['487']
['130']
['222']
['166']
['331']
['272']
['223']
['338']
['111']
['194']
['189']
['115']
['309']
['321']
