['360', '413', '255', '467', '63', '287', '275', '384', '201', '476', '185']
['208', '44', '283', '211', '291', '47', '11', '358', '282', '299', '389']
['460', '391', '303', '73', '144', '165', '83', '218', '330', '426', '445']
['24', '207', '431', '418', '234', '385', '482', '172', '374', '331', '332']
['42', '369', '373', '314', '254', '440', '452', '48', '480', '171', '163']
['312', '89', '262', '219', '487', '344', '139', '167', '459', '124', '38']
['91', '81', '336', '6', '199', '228', '326', '428', '416', '456', '40']
['235', '427', '25', '387', '350', '82', '438', '203', '429', '137', '393']
['130', '284', '157', '381', '86', '103', '309', '245', '173', '241', '461']
['316', '406', '192', '36', '378', '276', '19', '368', '471', '244', '392']
['129', '366', '186', '182', '306', '304', '484', '127', '290', '184', '308']
['104', '52', '466', '190', '221', '281', '32', '403', '289', '365', '267']
['120', '495', '138', '268', '214', '94', '404', '376', '270', '212', '302']
['313', '134', '43', '61', '95', '246', '125', '398', '136', '84', '396']
['260', '307', '253', '317', '96', '348', '149', '114', '349', '436', '397']
['18', '479', '486', '272', '310', '415', '97', '133', '75', '388', '229']
['100', '327', '166', '227', '412', '444', '465', '12', '434', '131', '323']
['315', '202', '407', '492', '4', '293', '264', '298', '194', '411', '119']
['49', '29', '78', '115', '217', '10', '76', '147', '110', '54', '338']
['123', '250', '30', '99', '226', '17', '410', '446', '367', '152', '224']
['1', '454', '220', '474', '170', '421', '383', '28', '169', '160', '248']
['334', '128', '105', '352', '231', '364', '230', '132', '55', '135', '178']
['386', '240', '109', '85', '206', '343', '74', '252', '216', '179', '16']
['363', '448', '265', '277', '333', '494', '106', '351', '57', '400', '7']
['463', '210', '23', '222', '455', '8', '269', '430', '3', '155', '37']
['162', '122', '60', '279', '489', '443', '329', '382', '46', '256', '159']
['108', '257', '485', '422', '345', '102', '181', '251', '261', '176', '22']
['0', '65', '188', '72', '180', '357', '151', '205', '150', '70', '447']
['26', '116', '292', '196', '424', '497', '498', '435', '395', '247', '481']
['50', '213', '2', '148', '468', '164', '198', '80', '93', '442', '113']
['321', '9', '107', '112', '493', '472', '126', '401', '377', '285', '88']
['425', '242', '189', '408', '439', '379', '71', '27', '496', '300', '499']
['90', '142', '347', '174', '92', '13', '143', '380', '53', '341', '20']
['238', '121', '325', '239', '154', '237', '34', '183', '394', '146', '51']
['117', '209', '478', '145', '335', '356', '328', '402', '371', '156', '21']
['450', '405', '273', '31', '223', '288', '204', '340', '359', '233', '68']
['437', '318', '140', '464', '414', '419', '354', '249', '158', '469', '286']
['441', '195', '62', '451', '56', '59', '346', '35', '64', '98', '215']
['399', '193', '297', '361', '187', '66', '77', '271', '175', '475', '177']
['259', '432', '320', '372', '375', '161', '295', '339', '232', '263', '342']
['87', '390', '490', '322', '491', '337', '274', '462', '355', '370', '477']
['15', '39', '266', '457', '153', '417', '470', '409', '433', '191', '311']
['488', '305', '278', '243', '473', '362', '423', '280', '58', '197', '420']
['324', '319', '33', '353', '101', '294', '69', '5', '483', '67', '458']
['236', '453', '225', '141', '449', '301', '45', '258', '168', '79', '14']
['41']
['118']
['200']
['296']
['111']
