['62', '107', '213', '368', '23', '133', '42', '8', '63', '157', '44', '142', '18', '486', '412', '103', '96', '180', '280', '481', '386', '493', '114', '173', '397']
['333', '329', '214', '273', '43', '380', '11', '378', '433', '367', '127', '168', '297', '347', '222', '186', '5', '75', '52', '253', '339', '83', '72', '426', '298']
['116', '59', '76', '406', '141', '100', '39', '277', '358', '346', '38', '321', '260', '24', '335', '336', '31', '439', '6', '2', '243', '461', '478', '350', '57']
['325', '237', '200', '373', '95', '371', '185', '238', '268', '431', '492', '416', '177', '391', '188', '488', '265', '375', '117', '1', '307', '457', '125', '102', '155']
['363', '89', '36', '404', '234', '152', '271', '476', '16', '326', '218', '104', '145', '387', '314', '497', '344', '67', '122', '130', '448', '379', '430', '256', '119']
['460', '140', '32', '348', '465', '403', '149', '124', '246', '342', '331', '405', '334', '0', '61', '223', '204', '309', '456', '121', '211', '29', '118', '304', '483']
['303', '257', '143', '266', '498', '191', '20', '55', '54', '383', '364', '71', '425', '283', '34', '435', '136', '479', '92', '449', '228', '423', '401', '79', '267']
['13', '109', '395', '139', '261', '340', '496', '301', '455', '47', '343', '12', '442', '292', '369', '56', '94', '198', '484', '485', '315', '202', '328', '384', '131']
['192', '112', '494', '310', '351', '308', '85', '226', '86', '151', '235', '91', '337', '409', '199', '255', '252', '194', '58', '97', '166', '281', '148', '428', '176']
['322', '206', '247', '278', '201', '236', '81', '438', '77', '356', '467', '473', '229', '399', '242', '146', '3', '70', '174', '463', '262', '398', '305', '392', '50']
['15', '259', '30', '210', '360', '128', '444', '45', '160', '258', '396', '393', '499', '269', '263', '251', '332', '286', '208', '60', '284', '274', '163', '132', '110']
['87', '65', '239', '319', '35', '98', '21', '240', '73', '432', '182', '394', '295', '270', '120', '446', '276', '289', '450', '454', '165', '459', '68', '477', '159']
['82', '402', '230', '115', '183', '288', '382', '480', '362', '162', '312', '466', '418', '10', '197', '323', '490', '318', '491', '66', '413', '320', '472', '41', '156']
['108', '317', '353', '376', '407', '464', '221', '216', '447', '299', '424', '203', '40', '135', '390', '417', '361', '19', '275', '469', '422', '209', '129', '217', '287']
['453', '134', '487', '101', '80', '293', '330', '90', '207', '415', '74', '205', '244', '184', '285', '172', '25', '17', '69', '224', '164', '365', '471', '241', '137']
['437', '26', '324', '190', '264', '400', '88', '248', '78', '196', '272', '126', '385', '175', '167', '105', '154', '357', '171', '434', '7', '388', '468', '408', '37']
['123', '250', '170', '169', '111', '436', '212', '27', '232', '9', '219', '354', '440', '53', '48', '158', '389', '366', '327', '138', '381', '144', '187', '443', '147']
['316', '489', '279', '153', '4', '93', '462', '355', '245', '296', '458', '51', '195', '99', '294', '377', '181', '474', '28', '452', '370', '233', '411', '414', '352']
['313', '220', '49', '33', '249', '150', '22', '300', '338', '189', '470', '291', '227', '421', '419', '179', '225', '254', '161', '445', '410', '372', '306', '341', '106']
['427', '231', '482', '359', '84', '374', '215', '14', '193', '441', '349', '290', '420', '178', '345', '46', '429', '302', '495', '451', '282', '311', '64', '475', '113']
