['192', '193', '190', '187', '195', '191', '194']
['123', '133', '127', '131', '115', '116', '120']
['265', '254', '260', '263', '261', '266', '262']
['268', '274', '272', '269', '256', '258', '257']
['309', '299', '297', '296', '298', '300', '301']
['87', '86', '82', '91', '85', '89', '88']
['200', '208', '203', '206', '204', '199', '189']
['230', '231', '227', '229', '237', '226', '228']
['158', '156', '173', '160', '159', '157', '161']
['126', '130', '124', '121', '122', '119', '125']
['50', '55', '56', '58', '51', '45', '52']
['69', '70', '61', '53', '64', '62', '57']
['341', '331', '335', '336', '333', '334', '332']
['219', '243', '239', '238', '236', '244', '234']
['17', '13', '18', '21', '19', '16', '20']
['329', '324', '339', '343', '338', '342', '327']
['135', '137', '134', '138', '140', '128', '136']
['350', '346', '347', '344', '323', '345', '349']
['306', '295', '290', '305', '303', '291', '302']
['23', '9', '11', '25', '14', '12', '15']
['154', '169', '149', '164', '170', '167', '163']
['80', '81', '92', '83', '98', '95', '79']
['101', '96', '104', '90', '94', '100', '99']
['33', '32', '35', '30', '31', '28', '29']
['63', '166', '155', '151', '168', '150', '162']
['188', '185', '74', '186', '182', '211', '184']
['223', '225', '221', '132', '222', '233', '205']
['46', '77', '49', '6', '44', '47', '48']
['220', '1', '235', '180', '73', '224', '232']
['198', '201', '337', '197', '322', '275', '251']
['84', '289', '72', '249', '294', '292', '321']
['328', '5', '284', '38', '54', '330', '326']
['278', '308', '97', '40', '142', '255', '304']
['153', '279', '174', '10', '110', '307', '152']
['111', '271', '41', '109', '259', '175', '273']
['24', '242', '27', '270', '276', '209', '277']
['287', '293', '310', '253', '313', '240', '34']
['43', '148', '183', '178', '207', '129', '118']
['320', '281', '67', '246', '105', '144', '319']
['78', '172', '26', '286', '311', '282', '59']
['93', '217', '196', '71', '22', '312', '213']
['141', '241', '2', '143', '202', '145', '181']
['177', '7', '218', '280', '102', '108', '210']
['317', '215', '214', '252', '165', '36', '60']
['212', '176', '248', '112', '37', '113', '171']
['68', '106', '288', '314', '264', '114', '107']
['245', '179', '216', '267', '66', '39', '315']
['76', '325', '247', '146', '117', '316', '8']
['285', '103', '75', '348', '3', '250', '42']
['340', '139', '318', '65', '4', '283', '147']
