['84', '5', '439', '88', '227']
['38', '56', '24', '26', '146']
['238', '231', '181', '54', '72']
['236', '214', '467', '160', '28']
['15', '216', '354', '118', '162']
['430', '446', '322', '239', '278']
['129', '381', '19', '388', '119']
['281', '91', '312', '2', '321']
['36', '210', '401', '392', '294']
['475', '373', '463', '270', '268']
['474', '302', '310', '32', '37']
['363', '317', '49', '347', '448']
['309', '147', '345', '494', '414']
['330', '450', '201', '409', '455']
['164', '484', '266', '152', '144']
['126', '261', '145', '273', '177']
['417', '490', '460', '376', '35']
['249', '282', '141', '53', '315']
['9', '250', '341', '370', '443']
['142', '410', '13', '327', '468']
['316', '94', '415', '411', '427']
['75', '274', '187', '34', '300']
['260', '416', '293', '476', '444']
['452', '289', '263', '100', '485']
['428', '423', '434', '495', '456']
['255', '453', '243', '104', '57']
['1', '371', '132', '240', '17']
['103', '285', '22', '222', '478']
['247', '325', '174', '65', '389']
['432', '367', '272', '297', '472']
['23', '235', '311', '252', '499']
['340', '52', '276', '195', '269']
['47', '161', '45', '115', '221']
['290', '108', '464', '424', '166']
['112', '333', '306', '403', '21']
['188', '307', '95', '277', '80']
['200', '292', '355', '318', '215']
['374', '206', '420', '323', '74']
['244', '109', '85', '493', '92']
['78', '481', '362', '459', '172']
['153', '33', '202', '63', '425']
['205', '114', '99', '137', '116']
['360', '76', '385', '395', '191']
['335', '220', '190', '489', '81']
['48', '89', '225', '343', '491']
['487', '372', '344', '301', '178']
['182', '365', '223', '183', '148']
['326', '107', '483', '405', '387']
['198', '357', '68', '438', '232']
['386', '488', '207', '482', '280']
['304', '361', '192', '10', '351']
['248', '422', '82', '18', '219']
['358', '121', '150', '139', '185']
['337', '348', '73', '111', '8']
['69', '431', '257', '336', '352']
['429', '461', '16', '86', '208']
['61', '412', '295', '196', '462']
['406', '233', '7', '480', '286']
['470', '421', '134', '394', '377']
['25', '6', '39', '30', '299']
['375', '283', '44', '226', '319']
['60', '41', '0', '264', '267']
['93', '130', '156', '171', '143']
['228', '356', '426', '51', '138']
['359', '193', '71', '342', '203']
['353', '176', '314', '368', '275']
['390', '163', '245', '224', '479']
['296', '197', '242', '258', '496']
['329', '212', '101', '379', '167']
['241', '437', '106', '331', '204']
['180', '90', '42', '110', '419']
['120', '435', '168', '465', '328']
['58', '440', '149', '70', '14']
['449', '382', '279', '135', '378']
['218', '169', '418', '98', '43']
['87', '454', '364', '332', '402']
['83', '127', '407', '471', '320']
['179', '122', '265', '334', '369']
['102', '96', '346', '59', '497']
['113', '251', '271', '398', '366']
['313', '213', '259', '199', '157']
['399', '217', '442', '175', '194']
['433', '396', '186', '305', '62']
['477', '498', '486', '441', '125']
['469', '384', '123', '457', '4']
['29', '284', '155', '291', '397']
['253', '211', '136', '189', '170']
['436', '165', '324', '20', '229']
['77', '154', '3', '298', '338']
['151', '262', '308', '128', '140']
['230', '133', '339', '237', '254']
['246', '383', '404', '466', '473']
['67', '447', '413', '492', '234']
['393', '131', '66', '380', '287']
['117', '303', '105', '50', '173']
['391', '64', '27', '256', '288']
['400', '349', '458', '159', '40']
['46', '184', '31', '350', '11']
['124', '79', '55', '158', '97']
['451', '445', '209', '408', '12']
