['313', '42', '324', '62', '337', '396', '180', '304', '114', '160', '392', '124', '278', '184', '300', '338']
['177', '211', '193', '259', '129', '99', '22', '17', '198', '375', '231', '270', '173', '302', '331', '299']
['321', '388', '61', '28', '372', '164', '126', '349', '367', '191', '263', '309', '218', '330', '156', '297']
['390', '239', '166', '153', '360', '215', '183', '101', '265', '383', '305', '118', '357', '84', '132', '159']
['51', '107', '380', '345', '398', '86', '77', '2', '310', '152', '59', '103', '80', '55', '224', '110']
['71', '250', '142', '49', '273', '154', '189', '140', '336', '379', '255', '282', '356', '41', '40', '106']
['121', '235', '209', '397', '284', '43', '274', '202', '125', '172', '378', '252', '377', '163', '371', '185']
['238', '39', '334', '92', '130', '366', '277', '376', '223', '148', '169', '311', '340', '105', '179', '137']
['117', '122', '208', '391', '60', '26', '219', '47', '31', '102', '348', '342', '38', '400', '88', '229']
['52', '315', '138', '6', '187', '11', '128', '306', '127', '20', '46', '150', '230', '384', '131', '287']
['325', '307', '303', '318', '65', '90', '387', '34', '217', '320', '294', '5', '355', '194', '79', '176']
['91', '120', '210', '73', '16', '335', '226', '53', '339', '245', '382', '280', '158', '197', '232', '97']
['108', '322', '143', '144', '206', '56', '281', '351', '228', '326', '151', '205', '146', '290', '135', '21']
['399', '1', '283', '100', '192', '195', '81', '222', '36', '66', '10', '394', '275', '374', '212', '155']
['236', '24', '134', '317', '353', '190', '82', '329', '45', '178', '298', '37', '359', '362', '50', '248']
['363', '332', '70', '25', '253', '85', '201', '269', '251', '264', '368', '157', '385', '27', '181', '54']
['260', '44', '141', '89', '291', '227', '314', '389', '8', '272', '276', '136', '139', '72', '285', '286']
['162', '257', '13', '207', '9', '268', '213', '115', '350', '288', '96', '365', '165', '168', '247', '68']
['316', '347', '186', '361', '196', '112', '12', '63', '98', '167', '328', '241', '147', '233', '19', '7']
['386', '220', '145', '373', '33', '95', '199', '249', '344', '161', '395', '258', '175', '67', '75', '267']
['87', '3', '225', '14', '369', '182', '32', '234', '93', '354', '293', '370', '246', '133', '256', '113']
['174', '262', '266', '170', '221', '94', '333', '4', '69', '76', '149', '289', '244', '214', '308', '301']
['15', '312', '123', '279', '29', '109', '381', '203', '204', '358', '343', '346', '243', '295', '111', '23']
['104', '292', '242', '319', '327', '237', '240', '200', '18', '74', '48', '57', '271', '261', '296', '323']
['116', '30', '78', '393', '188', '364', '254', '352', '341', '83', '171', '35', '58', '216', '64', '119']
