['208', '145', '109', '55', '217', '45', '44', '43', '214', '124', '86', '186', '114', '136', '115', '56', '323', '143', '84', '85', '135', '54', '142', '108', '146', '218', '126', '125', '144', '110']
['165', '268', '18', '196', '83', '16', '20', '131', '35', '130', '8', '339', '15', '34', '226', '19', '270', '53', '2', '231', '36', '58', '51', '166', '17', '219', '164', '52', '129', '7']
['170', '369', '253', '279', '92', '254', '107', '91', '294', '365', '290', '40', '99', '161', '177', '41', '160', '76', '334', '386', '137', '209', '138', '50', '175', '106', '42', '167', '75', '205']
['335', '263', '174', '32', '280', '374', '22', '65', '281', '23', '243', '168', '6', '333', '31', '64', '37', '162', '282', '176', '241', '284', '178', '269', '318', '93', '242', '259', '292', '5']
['81', '190', '172', '28', '29', '113', '82', '30', '4', '173', '96', '13', '235', '286', '240', '229', '72', '156', '3', '97', '154', '378', '118', '169', '307', '310', '185', '73', '12', '63']
['101', '251', '283', '261', '27', '206', '71', '159', '119', '70', '104', '191', '103', '141', '195', '77', '78', '134', '148', '147', '223', '344', '123', '26', '61', '385', '149', '213', '62', '163']
['48', '132', '25', '200', '394', '324', '111', '60', '199', '47', '69', '256', '89', '94', '211', '116', '133', '183', '90', '98', '315', '59', '225', '192', '68', '117', '127', '332', '88', '24']
['80', '244', '233', '372', '112', '301', '382', '288', '381', '171', '184', '216', '152', '396', '153', '66', '397', '352', '260', '234', '384', '308', '79', '325', '336', '367', '342', '358', '390', '276']
['278', '10', '366', '105', '203', '11', '350', '304', '273', '220', '100', '357', '392', '330', '39', '398', '347', '157', '298', '363', '202', '9', '393', '331', '74', '379', '388', '289', '95', '49']
['391', '193', '1', '313', '122', '265', '252', '181', '204', '182', '293', '230', '302', '222', '359', '327', '312', '33', '354', '232', '309', '120', '328', '180', '245', '316', '121', '14', '57', '258']
['349', '247', '187', '224', '246', '305', '329', '158', '371', '395', '102', '249', '317', '46', '221', '87', '215', '198', '320', '179', '264', '285', '387', '248', '271', '0', '389', '194', '361', '295']
['237', '257', '303', '375', '128', '355', '267', '326', '239', '197', '272', '376', '345', '238', '189', '291', '368', '21', '300', '155', '373', '277', '383', '351', '322', '321', '275', '262', '207', '274']
['236', '227', '201', '296', '314', '299', '67', '255', '341', '353', '250', '399', '38', '319', '150', '370', '266', '297', '360', '380', '364', '343', '348', '337', '210', '151', '346', '340', '228', '287']
['311', '139', '377', '188', '140', '212', '338', '362', '306', '356']
