['537', '437', '137', '587', '187', '87', '612', '312', '212', '582', '337', '37', '62', '12', '362', '237', '262', '462', '487', '287', '162', '387', '112', '412', '512']
['604', '279', '4', '554', '479', '54', '29', '598', '129', '104', '429', '329', '79', '379', '529', '204', '179', '404', '304', '254', '354', '454', '154', '229', '504']
['227', '452', '327', '427', '202', '377', '177', '277', '252', '477', '2', '77', '577', '27', '152', '527', '568', '602', '302', '52', '102', '127', '502', '352', '402']
['233', '108', '358', '283', '333', '558', '8', '58', '608', '383', '208', '483', '158', '533', '308', '458', '133', '433', '258', '508', '183', '33', '408', '83', '563']
['493', '18', '443', '68', '118', '318', '193', '368', '618', '218', '393', '468', '593', '518', '293', '418', '143', '243', '543', '343', '168', '268', '93', '571', '43']
['113', '513', '413', '88', '213', '538', '188', '613', '238', '588', '163', '363', '388', '438', '338', '263', '288', '63', '313', '595', '488', '138', '38', '13', '463']
['451', '76', '251', '601', '276', '576', '476', '583', '351', '426', '326', '26', '101', '376', '526', '226', '51', '151', '401', '1', '301', '126', '501', '176', '201']
['580', '80', '55', '305', '255', '105', '205', '230', '130', '180', '505', '155', '355', '455', '480', '380', '430', '405', '585', '330', '5', '30', '605', '530', '280']
['557', '32', '82', '357', '307', '382', '232', '182', '482', '207', '282', '575', '507', '132', '332', '107', '432', '457', '257', '157', '57', '407', '7', '607', '532']
['417', '167', '467', '542', '517', '67', '342', '492', '242', '392', '564', '317', '567', '142', '117', '292', '267', '442', '42', '617', '367', '217', '92', '17', '192']
['169', '269', '394', '219', '369', '94', '419', '244', '519', '44', '544', '619', '444', '344', '469', '19', '69', '294', '594', '194', '144', '494', '319', '561', '119']
['65', '240', '140', '365', '465', '415', '90', '15', '290', '115', '165', '562', '615', '440', '315', '515', '215', '590', '265', '390', '340', '40', '490', '540', '190']
['134', '309', '409', '509', '459', '609', '434', '581', '109', '159', '34', '234', '184', '84', '259', '59', '534', '384', '209', '559', '9', '334', '359', '284', '484']
['447', '322', '197', '297', '147', '422', '397', '347', '522', '497', '47', '272', '22', '172', '574', '372', '572', '97', '122', '622', '247', '547', '472', '72', '222']
['246', '96', '71', '471', '396', '146', '421', '579', '46', '621', '221', '346', '296', '21', '446', '196', '271', '596', '371', '496', '521', '546', '171', '121', '321']
['624', '349', '49', '174', '249', '99', '599', '399', '499', '584', '374', '549', '274', '199', '324', '74', '299', '449', '24', '124', '224', '474', '524', '149', '424']
['66', '116', '91', '291', '416', '391', '466', '191', '166', '553', '216', '541', '341', '41', '441', '566', '241', '491', '16', '316', '141', '516', '266', '366', '616']
['323', '573', '148', '423', '98', '173', '373', '198', '298', '223', '548', '348', '48', '448', '398', '23', '591', '123', '523', '473', '248', '623', '273', '498', '73']
['253', '178', '53', '3', '103', '353', '78', '128', '603', '428', '578', '328', '228', '552', '378', '28', '528', '203', '303', '153', '278', '453', '403', '478', '503']
['220', '620', '245', '120', '570', '95', '170', '395', '495', '295', '445', '520', '470', '195', '45', '145', '345', '20', '545', '270', '70', '370', '320', '420', '565']
['375', '525', '75', '275', '0', '175', '550', '250', '225', '450', '25', '100', '350', '600', '500', '325', '125', '300', '50', '475', '551', '150', '200', '400', '425']
['306', '556', '31', '131', '181', '156', '406', '206', '56', '381', '81', '481', '106', '531', '431', '356', '281', '331', '456', '606', '506', '6', '256', '231', '592']
['214', '539', '514', '64', '589', '39', '89', '614', '239', '364', '139', '439', '389', '264', '314', '339', '164', '489', '189', '114', '464', '14', '597', '289', '414']
['360', '610', '410', '535', '285', '485', '135', '210', '560', '460', '510', '35', '435', '260', '310', '335', '10', '60', '110', '569', '85', '235', '385', '160', '185']
['211', '555', '36', '236', '86', '436', '11', '261', '586', '111', '386', '461', '286', '511', '611', '361', '486', '536', '136', '336', '186', '161', '311', '411', '61']
