['667', '827', '699', '283', '443', '219', '539', '131', '251', '91', '795', '955', '187', '859', '347', '27', '603', '379', '891', '155', '315', '507', '635', '59', '475', '731', '923', '123', '263', '571', '176', '884', '411']
['65', '705', '513', '417', '627', '833', '193', '129', '353', '609', '225', '577', '737', '380', '109', '481', '929', '545', '449', '897', '97', '33', '1', '257', '673', '385', '865', '92', '289', '161', '311', '642', '321']
['960', '233', '306', '96', '32', '832', '0', '982', '64', '896', '576', '640', '192', '416', '128', '544', '228', '480', '992', '672', '448', '384', '224', '70', '288', '736', '160', '320', '768', '352', '256', '512', '754']
['493', '525', '269', '557', '134', '685', '333', '365', '601', '589', '205', '77', '429', '397', '173', '45', '957', '621', '717', '199', '237', '461', '404', '523', '511', '941', '141', '502', '301', '266', '658', '13', '973']
['88', '120', '632', '90', '664', '600', '312', '152', '792', '344', '440', '56', '728', '553', '216', '376', '856', '184', '568', '489', '41', '777', '824', '696', '905', '24', '408', '248', '927', '536', '472', '280', '504']
['220', '236', '620', '108', '716', '556', '213', '76', '140', '492', '44', '396', '460', '786', '588', '364', '428', '300', '204', '940', '172', '143', '12', '270', '762', '332', '209', '401', '780', '844', '268', '524', '647']
['253', '413', '656', '573', '349', '327', '637', '285', '893', '29', '477', '509', '495', '445', '317', '661', '933', '549', '125', '548', '221', '381', '81', '541', '189', '797', '669', '861', '605', '157', '93', '40', '61']
['375', '357', '261', '709', '517', '645', '805', '613', '99', '197', '485', '902', '773', '707', '868', '165', '704', '421', '581', '325', '133', '389', '293', '101', '69', '37', '5', '869', '278', '547', '453', '229', '198']
['174', '148', '942', '558', '238', '974', '78', '910', '564', '470', '206', '46', '430', '497', '526', '142', '398', '654', '372', '110', '590', '111', '462', '14', '788', '878', '494', '370', '340', '57', '334', '366', '784']
['246', '178', '918', '214', '369', '118', '342', '94', '886', '54', '550', '598', '945', '182', '406', '562', '500', '981', '310', '468', '234', '86', '22', '566', '438', '534', '292', '150', '758', '414', '726', '662', '694']
['309', '437', '245', '53', '71', '599', '277', '181', '533', '373', '100', '35', '789', '439', '469', '348', '405', '341', '708', '693', '117', '964', '21', '388', '271', '85', '900', '766', '920', '949', '149', '498', '853']
['169', '937', '137', '471', '105', '745', '177', '297', '771', '499', '329', '995', '393', '326', '907', '841', '898', '203', '585', '73', '265', '107', '281', '331', '713', '457', '361', '9', '521', '201', '222', '425', '323']
['604', '732', '796', '700', '305', '188', '668', '476', '156', '295', '308', '828', '996', '444', '28', '956', '60', '226', '431', '636', '572', '508', '124', '852', '764', '316', '924', '412', '38', '138', '284', '252', '540']
['537', '881', '113', '49', '985', '465', '409', '608', '625', '817', '657', '145', '529', '689', '593', '834', '433', '215', '337', '441', '977', '241', '749', '779', '888', '267', '901', '561', '154', '273', '616', '17', '989']
['447', '997', '479', '31', '95', '255', '963', '703', '415', '959', '383', '863', '351', '191', '345', '223', '991', '639', '575', '159', '582', '706', '864', '671', '127', '63', '543', '287', '319', '756', '607', '831', '799']
['936', '424', '275', '115', '755', '147', '520', '819', '808', '211', '339', '19', '531', '691', '296', '776', '196', '51', '262', '179', '243', '787', '840', '83', '371', '456', '200', '488', '136', '403', '851', '712', '913']
['743', '167', '928', '232', '135', '103', '423', '519', '39', '391', '583', '615', '641', '282', '903', '455', '970', '748', '999', '871', '551', '839', '487', '711', '42', '617', '807', '7', '935', '359', '679', '231', '190']
['36', '580', '644', '4', '452', '68', '740', '652', '804', '727', '676', '79', '612', '260', '836', '729', '164', '802', '838', '895', '324', '48', '948', '772', '132', '356', '330', '516', '235', '818', '420', '484', '932']
['249', '377', '734', '286', '318', '89', '510', '25', '336', '862', '921', '505', '212', '436', '62', '793', '574', '446', '153', '889', '569', '432', '633', '473', '313', '665', '30', '126', '217', '606', '697', '185', '121']
['66', '358', '866', '646', '710', '998', '290', '230', '966', '2', '422', '614', '450', '130', '994', '166', '578', '930', '518', '962', '34', '674', '294', '386', '258', '102', '194', '390', '162', '454', '486', '6', '546']
['410', '116', '538', '660', '570', '922', '58', '276', '250', '244', '634', '180', '724', '218', '916', '26', '314', '20', '84', '303', '602', '52', '791', '144', '474', '596', '890', '122', '794', '442', '407', '980', '532']
['279', '18', '55', '82', '535', '242', '87', '434', '146', '850', '887', '207', '274', '50', '626', '114', '631', '23', '338', '151', '695', '183', '919', '343', '247', '759', '530', '855', '951', '690', '972', '402', '503']
['451', '227', '467', '803', '67', '3', '746', '202', '291', '419', '483', '835', '867', '978', '195', '579', '328', '163', '355', '567', '106', '515', '259', '675', '909', '643', '362', '682', '611', '387', '823', '739', '490']
['911', '592', '753', '975', '175', '15', '733', '876', '399', '684', '925', '719', '757', '239', '904', '815', '947', '687', '751', '335', '527', '47', '879', '591', '559', '622', '623', '367', '463', '655', '847', '783', '688']
['752', '80', '240', '624', '75', '587', '857', '459', '875', '208', '720', '560', '368', '139', '723', '848', '528', '464', '11', '912', '702', '299', '304', '16', '254', '894', '816', '112', '830', '400', '769', '171', '43']
['781', '735', '394', '170', '8', '849', '395', '104', '785', '778', '715', '738', '813', '874', '298', '426', '552', '458', '264', '10', '74', '774', '586', '906', '692', '986', '168', '983', '648', '811', '72', '680', '565']
['610', '979', '820', '542', '846', '971', '382', '427', '350', '619', '482', '969', '363', '747', '418', '829', '272', '800', '651', '961', '491', '880', '984', '944', '926', '701', '595', '630', '638', '670', '954', '478', '98']
['681', '892', '950', '843', '798', '392', '899', '845', '435', '584', '677', '801', '938', '883', '374', '750', '967', '653', '987', '842', '988', '990', '775', '993', '597', '790', '744', '763', '934', '915', '770', '965', '826']
['663', '554', '742', '809', '952', '322', '885', '821', '683', '882', '870', '466', '946', '765', '628', '877', '958', '555', '837', '725', '346', '854', '678', '730', '686', '825', '714', '666', '953', '563', '858', '501', '968']
