['357', '975', '742', '369', '703', '15', '129', '495', '863', '353', '500', '581', '435', '874', '891', '155', '916', '723', '553', '211', '838', '929', '515', '748', '388', '386', '196', '281', '144', '83', '563', '126', '648', '690', '521', '289', '414', '192', '411', '919']
['960', '65', '227', '513', '116', '88', '318', '187', '785', '422', '173', '311', '350', '317', '726', '862', '552', '549', '747', '216', '86', '117', '772', '791', '16', '432', '596', '926', '63', '390', '93', '830', '454', '407', '760', '72', '490', '229', '171', '43']
['360', '663', '305', '32', '538', '467', '214', '971', '31', '646', '809', '285', '860', '416', '290', '882', '583', '79', '845', '393', '883', '806', '469', '293', '848', '159', '497', '59', '12', '398', '372', '237', '871', '401', '692', '597', '790', '673', '811', '679']
['936', '735', '178', '283', '918', '832', '394', '94', '589', '857', '104', '519', '974', '230', '868', '368', '466', '719', '510', '828', '815', '689', '903', '489', '725', '898', '74', '107', '97', '984', '934', '547', '924', '630', '501', '186', '783', '484', '498', '754']
['753', '246', '820', '167', '479', '53', '514', '291', '175', '733', '625', '429', '835', '165', '564', '603', '724', '593', '653', '199', '48', '905', '696', '491', '864', '908', '123', '292', '511', '825', '900', '943', '150', '617', '217', '858', '756', '989', '565', '198']
['375', '982', '942', '105', '795', '640', '727', '156', '483', '445', '158', '904', '470', '35', '659', '957', '819', '873', '575', '455', '164', '20', '988', '315', '50', '47', '635', '21', '262', '243', '713', '890', '473', '247', '983', '496', '812', '561', '818', '642']
['610', '36', '306', '279', '656', '148', '746', '377', '601', '849', '657', '560', '373', '345', '482', '152', '931', '389', '101', '687', '10', '464', '906', '302', '923', '111', '461', '209', '151', '288', '941', '543', '844', '168', '524', '273', '607', '222', '456', '884']
['96', '866', '732', '18', '68', '796', '427', '952', '54', '252', '147', '867', '544', '520', '180', '45', '218', '621', '363', '34', '335', '11', '585', '294', '545', '793', '534', '132', '271', '257', '301', '633', '361', '319', '112', '658', '424', '979', '647', '853']
['233', '557', '113', '573', '249', '342', '297', '392', '771', '634', '396', '778', '738', '239', '976', '336', '958', '439', '801', '518', '204', '651', '674', '226', '62', '888', '446', '270', '551', '650', '611', '442', '623', '736', '741', '92', '185', '403', '532', '73']
['781', '220', '580', '525', '624', '542', '261', '985', '232', '805', '833', '608', '135', '103', '684', '25', '850', '325', '374', '444', '26', '992', '970', '947', '300', '567', '708', '84', '259', '586', '775', '448', '749', '706', '523', '944', '869', '711', '57', '359']
['743', '537', '236', '309', '881', '307', '709', '333', '803', '118', '668', '197', '399', '78', '351', '612', '813', '661', '312', '206', '426', '355', '405', '348', '480', '19', '341', '22', '678', '999', '438', '889', '5', '682', '85', '200', '412', '13', '256', '61']
['447', '269', '245', '82', '213', '382', '922', '804', '277', '242', '821', '146', '460', '917', '145', '842', '649', '717', '81', '28', '856', '531', '822', '879', '654', '591', '671', '569', '316', '788', '30', '516', '823', '42', '807', '739', '320', '366', '680', '512']
['705', '700', '872', '843', '365', '58', '587', '734', '886', '998', '115', '859', '329', '225', '899', '195', '260', '298', '282', '440', '380', '481', '184', '626', '215', '69', '961', '574', '449', '787', '304', '840', '744', '794', '400', '927', '758', '453', '425', '540']
['667', '253', '660', '652', '599', '959', '205', '664', '406', '130', '421', '619', '27', '628', '933', '379', '834', '672', '541', '41', '909', '475', '172', '990', '441', '143', '23', '590', '993', '698', '267', '14', '764', '622', '268', '536', '463', '767', '920', '694']
['997', '417', '275', '8', '885', '210', '913', '609', '77', '450', '910', '981', '584', '529', '139', '792', '234', '528', '189', '436', '912', '299', '566', '602', '594', '686', '643', '231', '880', '102', '780', '986', '878', '313', '616', '670', '201', '954', '980', '662']
