['360', '604', '227', '253', '963', '804', '181', '817', '955', '860', '129', '391', '981', '887', '672', '34', '964', '977', '431', '888', '990', '362', '258', '772', '404', '665', '951', '718', '420', '256', '98']
['76', '140', '942', '187', '798', '634', '146', '719', '899', '312', '480', '848', '582', '341', '708', '142', '299', '636', '296', '111', '864', '14', '569', '780', '900', '42', '739', '606', '414', '949', '190']
['375', '743', '732', '232', '471', '188', '703', '896', '859', '577', '173', '544', '579', '336', '815', '426', '792', '163', '639', '930', '155', '348', '380', '110', '132', '179', '871', '83', '280', '186', '425']
['735', '525', '309', '608', '175', '724', '957', '940', '19', '829', '69', '678', '60', '448', '654', '446', '52', '596', '316', '141', '278', '390', '257', '150', '157', '266', '547', '38', '769', '690', '453']
['283', '452', '88', '318', '29', '242', '230', '130', '786', '35', '139', '207', '344', '212', '555', '729', '86', '48', '172', '897', '776', '880', '151', '97', '271', '267', '630', '767', '679', '185', '402']
['96', '71', '803', '465', '251', '377', '809', '197', '885', '952', '625', '974', '684', '393', '750', '216', '725', '203', '303', '508', '474', '953', '343', '371', '496', '521', '722', '847', '712', '782', '61']
['781', '558', '914', '733', '589', '598', '773', '290', '483', '510', '470', '218', '689', '518', '405', '204', '929', '464', '800', '585', '388', '908', '338', '401', '16', '488', '563', '680', '913', '198', '592']
['960', '443', '820', '656', '219', '118', '973', '734', '492', '876', '755', '191', '25', '239', '619', '588', '931', '378', '824', '74', '686', '292', '814', '825', '844', '711', '611', '516', '359', '979', '694']
['716', '134', '167', '261', '746', '868', '966', '77', '460', '578', '444', '621', '987', '430', '274', '259', '143', '749', '51', '332', '682', '559', '926', '340', '162', '855', '561', '920', '972', '565', '919']
['493', '169', '700', '53', '54', '945', '821', '495', '182', '676', '79', '916', '970', '541', '635', '568', '797', '545', '923', '224', '209', '144', '330', '714', '666', '248', '648', '273', '607', '504', '532']
['437', '624', '539', '587', '90', '886', '286', '383', '64', '609', '2', '195', '806', '315', '84', '822', '12', '262', '523', '944', '457', '673', '168', '823', '138', '412', '935', '484', '478', '721', '540']
['36', '305', '413', '213', '975', '928', '846', '810', '982', '409', '276', '353', '707', '329', '917', '373', '310', '228', '969', '548', '20', '626', '574', '591', '695', '852', '304', '354', '370', '6', '121']
['832', '31', '646', '277', '519', '406', '933', '903', '512', '234', '300', '837', '515', '272', '651', '879', '909', '693', '436', '11', '779', '226', '534', '384', '984', '794', '878', '13', '320', '768', '968']
