['228', '23', '8', '251', '932']
['356', '916', '355', '582', '407']
['35', '70', '754', '912', '712']
['304', '280', '550', '393', '907']
['47', '81', '14', '430', '48']
['120', '464', '797', '975', '617']
['370', '959', '198', '79', '371']
['149', '362', '483', '795', '201']
['467', '36', '134', '424', '466']
['380', '758', '64', '892', '696']
['24', '924', '399', '294', '925']
['301', '768', '996', '413', '619']
['811', '893', '485', '182', '653']
['820', '275', '286', '590', '108']
['151', '179', '909', '471', '408']
['936', '903', '302', '288', '915']
['12', '257', '144', '990', '20']
['629', '456', '831', '882', '78']
['626', '376', '836', '496', '218']
['803', '529', '567', '183', '313']
['291', '804', '802', '440', '325']
['530', '252', '864', '842', '217']
['904', '900', '612', '740', '901']
['805', '817', '98', '517', '341']
['460', '673', '881', '161', '507']
['690', '37', '914', '691', '687']
['55', '604', '958', '139', '602']
['787', '761', '9', '709', '148']
['715', '960', '899', '981', '697']
['759', '85', '504', '920', '212']
['614', '114', '543', '953', '801']
['769', '238', '974', '993', '776']
['935', '401', '879', '966', '738']
['848', '262', '425', '383', '730']
['477', '339', '353', '136', '708']
['781', '782', '177', '389', '895']
['7', '670', '169', '156', '319']
['636', '565', '940', '943', '305']
['760', '122', '58', '307', '861']
['770', '779', '412', '630', '657']
['369', '830', '695', '486', '432']
['978', '509', '556', '441', '568']
['138', '854', '111', '853', '260']
['67', '150', '415', '409', '919']
['324', '519', '833', '479', '190']
['13', '285', '897', '862', '132']
['663', '3', '343', '750', '42']
['95', '796', '309', '437', '429']
['588', '80', '647', '17', '578']
['896', '579', '100', '576', '982']
['15', '493', '748', '955', '921']
['222', '173', '963', '762', '240']
['417', '159', '354', '714', '147']
['806', '917', '364', '599', '88']
['667', '652', '474', '187', '809']
['45', '875', '121', '396', '843']
['4', '856', '942', '941', '457']
['188', '948', '160', '512', '439']
['835', '282', '827', '211', '202']
['743', '216', '234', '397', '945']
['950', '956', '832', '668', '692']
['777', '998', '741', '239', '546']
['719', '632', '368', '977', '951']
['465', '767', '39', '246', '299']
['410', '863', '947', '790', '44']
['398', '402', '547', '661', '894']
['992', '385', '642', '418', '807']
['69', '679', '487', '482', '731']
['508', '92', '213', '358', '274']
['75', '798', '243', '25', '873']
['905', '250', '549', '995', '878']
['571', '33', '245', '83', '536']
['332', '384', '259', '609', '128']
['851', '419', '539', '269', '608']
['105', '498', '391', '751', '494']
['586', '344', '26', '258', '178']
['77', '21', '267', '208', '746']
['76', '669', '544', '563', '146']
['447', '674', '633', '242', '348']
['911', '1', '885', '400', '315']
['495', '66', '63', '117', '499']
['839', '560', '705', '615', '725']
['643', '86', '162', '469', '199']
['387', '726', '490', '682', '555']
['461', '84', '438', '700', '452']
['680', '572', '765', '852', '103']
['129', '631', '127', '31', '635']
['594', '459', '538', '570', '235']
['359', '678', '688', '845', '988']
['513', '65', '810', '540', '535']
['224', '766', '634', '999', '448']
['22', '145', '270', '303', '826']
['583', '553', '328', '898', '423']
['784', '906', '153', '883', '113']
['610', '913', '749', '908', '859']
['51', '53', '49', '261', '683']
['366', '646', '367', '840', '640']
['606', '930', '887', '745', '971']
['581', '511', '411', '584', '320']
['711', '616', '233', '427', '846']
['450', '416', '819', '648', '283']
['143', '545', '253', '987', '506']
['624', '347', '794', '637', '793']
['488', '613', '771', '363', '126']
['192', '296', '124', '194', '373']
['435', '822', '133', '50', '377']
['752', '699', '575', '660', '937']
['248', '458', '844', '125', '829']
['102', '295', '703', '591', '268']
['729', '516', '979', '271', '659']
['130', '331', '327', '195', '184']
['237', '601', '684', '185', '18']
['112', '834', '522', '110', '973']
['175', '388', '254', '728', '664']
['463', '505', '518', '236', '193']
['500', '927', '872', '96', '694']
['970', '444', '592', '421', '334']
['276', '215', '737', '382', '876']
['596', '926', '800', '350', '221']
['207', '34', '351', '559', '317']
['263', '923', '502', '172', '455']
['718', '727', '755', '310', '346']
['181', '510', '481', '204', '778']
['890', '991', '706', '561', '378']
['744', '273', '812', '340', '225']
['372', '249', '662', '997', '503']
['858', '462', '551', '152', '808']
['256', '976', '789', '713', '938']
['701', '704', '532', '965', '106']
['910', '140', '266', '521', '468']
['109', '284', '137', '541', '785']
['314', '734', '645', '5', '214']
['623', '515', '558', '869', '742']
['255', '365', '154', '196', '361']
['763', '446', '115', '264', '279']
['928', '533', '855', '720', '849']
['773', '552', '841', '774', '46']
['689', '59', '666', '757', '531']
['717', '231', '686', '337', '333']
['603', '118', '562', '929', '816']
['621', '191', '330', '639', '698']
