['66', '36', '233', '80', '55', '120', '68', '232', '8', '105', '91', '15', '210', '78', '173', '45', '155', '212', '28', '47', '10', '12', '23', '21', '153', '231', '107', '5', '122', '30', '93', '57', '138', '38', '136', '6', '17', '192', '171', '190']
['705', '437', '253', '632', '467', '327', '219', '255', '140', '465', '668', '703', '175', '276', '353', '406', '704', '351', '27', '435', '325', '378', '380', '300', '528', '199', '41', '302', '51', '597', '408', '666', '278', '595', '530', '496', '563', '630', '561', '498']
['81', '279', '4', '246', '267', '515', '660', '602', '3', '471', '388', '591', '263', '64', '487', '551', '286', '695', '476', '629', '1', '288', '634', '560', '684', '2', '483', '623', '165', '533', '544', '564', '347', '180', '562', '579', '152', '310', '328', '405']
['376', '34', '309', '346', '725', '507', '189', '685', '259', '674', '172', '37', '566', '730', '84', '270', '148', '262', '332', '671', '384', '183', '462', '474', '457', '129', '569', '466', '26', '661', '628', '737', '618', '393', '223', '282', '355', '721', '363', '575']
['375', '672', '604', '567', '644', '580', '716', '662', '174', '570', '456', '249', '394', '196', '251', '377', '664', '559', '622', '301', '711', '287', '313', '83', '150', '473', '387', '736', '638', '412', '739', '40', '366', '697', '403', '424', '344', '532', '389', '555']
['314', '699', '663', '418', '554', '82', '335', '137', '587', '514', '608', '202', '181', '285', '589', '415', '734', '550', '318', '576', '104', '208', '605', '225', '158', '601', '25', '322', '407', '126', '501', '581', '472', '490', '486', '239', '522', '679', '218', '712']
['537', '159', '315', '626', '215', '114', '464', '436', '526', '143', '441', '62', '574', '117', '654', '631', '448', '338', '209', '733', '124', '24', '97', '657', '401', '650', '127', '669', '304', '156', '254', '162', '340', '740', '336', '186', '414', '689', '639', '430']
['610', '61', '227', '525', '735', '18', '417', '452', '53', '214', '517', '539', '491', '449', '572', '258', '534', '131', '188', '427', '90', '485', '297', '523', '250', '598', '640', '392', '665', '319', '577', '719', '198', '690', '273', '280', '229', '723', '43', '503']
['728', '717', '553', '582', '541', '113', '700', '410', '75', '573', '88', '226', '69', '693', '118', '54', '682', '244', '182', '230', '434', '368', '450', '295', '429', '445', '147', '100', '163', '500', '359', '260', '584', '677', '298', '139', '724', '505', '455', '649']
['220', '729', '32', '272', '59', '142', '203', '651', '74', '531', '709', '241', '95', '362', '111', '706', '67', '599', '151', '179', '281', '696', '144', '316', '63', '116', '354', '168', '370', '516', '454', '157', '42', '308', '160', '373', '350', '615', '428', '624']
['381', '211', '169', '620', '96', '413', '269', '283', '86', '497', '481', '184', '22', '372', '643', '197', '492', '419', '187', '29', '242', '692', '683', '238', '676', '439', '583', '166', '421', '312', '641', '145', '718', '364', '201', '468', '374', '518', '133', '56']
['305', '708', '303', '294', '382', '731', '275', '636', '686', '438', '52', '265', '326', '102', '252', '511', '432', '121', '390', '701', '633', '235', '371', '488', '720', '9', '154', '400', '619', '13', '320', '606', '506', '680', '722', '284', '149', '549', '592', '469']
['451', '274', '360', '681', '65', '245', '106', '443', '358', '167', '635', '213', '349', '489', '637', '170', '342', '646', '535', '625', '710', '135', '205', '103', '290', '416', '399', '77', '460', '540', '510', '715', '79', '317', '352', '119', '402', '321', '694', '433']
['293', '101', '164', '687', '19', '125', '527', '48', '675', '545', '337', '678', '691', '586', '594', '299', '296', '237', '123', '277', '508', '698', '194', '330', '713', '495', '621', '642', '543', '146', '85', '520', '206', '482', '578', '458', '440', '647', '411', '221']
['306', '134', '240', '513', '357', '479', '71', '732', '261', '585', '31', '58', '652', '645', '461', '224', '14', '459', '115', '707', '87', '494', '247', '112', '391', '128', '617', '614', '547', '130', '334', '463', '612', '195', '588', '35', '659', '529', '426', '504']
['216', '493', '204', '656', '548', '475', '333', '431', '76', '446', '365', '590', '386', '613', '132', '207', '292', '404', '243', '271', '16', '565', '546', '502', '611', '361', '248', '268', '648', '7', '72', '670', '607', '176', '46', '161', '593', '222', '98', '480']
['667', '447', '236', '557', '108', '178', '627', '538', '49', '307', '73', '369', '94', '99', '409', '291', '383', '395', '193', '423', '477', '509', '519', '39', '727', '609', '44', '499', '89', '329', '397', '191', '738', '470', '217', '600', '603', '655', '688', '512']
['109', '339', '234', '20', '50', '341', '568', '324', '11', '556', '60', '542', '702', '398', '558', '177', '356', '70', '331', '33', '596', '141', '714', '420', '257', '396', '343', '422', '673', '442', '200', '345', '616', '379', '552', '228', '444', '653', '264', '348']
['385', '266', '311', '524', '367', '658', '536', '571', '92', '521', '110', '453', '289', '185', '256', '484', '726', '478', '425', '323']
