['31', '797', '29', '748', '32']
['335', '540', '543', '542', '315']
['151', '436', '691', '150', '148']
['228', '854', '227', '441', '225']
['277', '276', '775', '62', '274']
['574', '662', '659', '117', '661']
['631', '634', '633', '749', '779']
['165', '164', '880', '162', '23']
['743', '209', '338', '746', '745']
['816', '401', '97', '815', '813']
['722', '124', '724', '842', '725']
['254', '171', '650', '172', '169']
['894', '270', '267', '269', '763']
['841', '93', '844', '843', '665']
['472', '470', '847', '473', '812']
['820', '296', '823', '822', '818']
['450', '736', '719', '738', '739']
['694', '273', '696', '280', '697']
['78', '81', '782', '229', '80']
['198', '246', '61', '249', '248']
['886', '885', '237', '258', '883']
['652', '654', '525', '655', '534']
['721', '802', '573', '799', '801']
['689', '690', '687', '517', '810']
['131', '388', '386', '389', '539']
['141', '427', '188', '144', '143']
['102', '101', '191', '99', '91']
['497', '302', '304', '96', '305']
['339', '685', '337', '340', '791']
['316', '318', '373', '831', '319']
['53', '251', '615', '52', '50']
['192', '292', '377', '193', '190']
['851', '492', '850', '848', '201']
['15', '896', '187', '17', '18']
['417', '416', '576', '414', '147']
['451', '452', '238', '449', '657']
['211', '41', '213', '214', '156']
['641', '583', '511', '638', '640']
['811', '367', '365', '368', '866']
['442', '444', '16', '166', '445']
['85', '145', '88', '87', '597']
['834', '891', '364', '836', '837']
['781', '780', '468', '778', '439']
['73', '71', '74', '455', '174']
['241', '142', '643', '239', '242']
['518', '900', '897', '899', '133']
['353', '351', '354', '56', '819']
['380', '865', '864', '469', '862']
['266', '183', '186', '185', '86']
['753', '481', '750', '343', '752']
['109', '898', '108', '106', '184']
['410', '407', '303', '409', '552']
['424', '294', '327', '421', '423']
['888', '39', '36', '261', '38']
['636', '21', '344', '347', '346']
['22', '24', '686', '25', '265']
['312', '887', '590', '309', '311']
['675', '676', '673', '840', '692']
['617', '713', '620', '432', '619']
['375', '374', '372', '390', '723']
['381', '379', '382', '83', '475']
['771', '773', '901', '774', '371']
['488', '435', '438', '437', '387']
['9', '610', '612', '154', '613']
['13', '116', '115', '873', '113']
['320', '284', '281', '341', '283']
['149', '589', '506', '592', '591']
['231', '326', '720', '323', '325']
['291', '290', '252', '288', '433']
['121', '321', '704', '701', '703']
['758', '207', '206', '853', '204']
['295', '681', '297', '245', '298']
['529', '672', '526', '425', '528']
['577', '167', '706', '575', '578']
['459', '458', '90', '456', '632']
['220', '349', '322', '218', '221']
['567', '766', '637', '764', '767']
['262', '263', '260', '342', '20']
['554', '556', '646', '557', '356']
['200', '197', '135', '625', '199']
['858', '485', '855', '205', '857']
['563', '490', '564', '561', '103']
['508', '505', '399', '793', '507']
['718', '717', '715', '868', '751']
['95', '460', '92', '94', '489']
['708', '710', '510', '711', '79']
['603', '606', '790', '119', '605']
['65', '402', '400', '317', '403']
['877', '830', '827', '47', '829']
['895', '871', '872', '869', '828']
['890', '893', '892', '482', '905']
['324', '788', '787', '440', '785']
['571', '621', '570', '182', '568']
['158', '155', '157', '125', '329']
['293', '405', '519', '522', '521']
['428', '700', '55', '430', '431']
['626', '624', '601', '627', '418']
['67', '66', '64', '19', '495']
['48', '547', '549', '215', '550']
['759', '777', '757', '545', '760']
['596', '824', '586', '598', '599']
['500', '498', '501', '698', '594']
['572', '582', '585', '584', '642']
['255', '908', '882', '253', '256']
['515', '194', '512', '514', '523']
['792', '467', '794', '795', '299']
['179', '391', '176', '178', '756']
['484', '168', '487', '499', '486']
['112', '806', '247', '808', '809']
['535', '533', '741', '429', '536']
['769', '658', '395', '393', '396']
['614', '306', '647', '645', '648']
['463', '513', '465', '240', '466']
['275', '906', '740', '904', '907']
['461', '1', '58', '3', '4']
['593', '669', '666', '668', '105']
['683', '224', '54', '680', '682']
['123', '122', '120', '860', '14']
['392', '234', '232', '735', '235']
['244', '360', '875', '361', '358']
['10', '11', '8', '230', '707']
['137', '434', '134', '2', '136']
['129', '130', '504', '127', '835']
['57', '406', '59', '60', '128']
['195', '491', '493', '100', '494']
['729', '747', '825', '732', '731']
['477', '479', '588', '35', '480']
['332', '726', '330', '874', '333']
['45', '761', '677', '43', '46']
['911', '913', '914', '139', '426']
['163', '565', '879', '878', '876']
['604', '916', '548', '553', '408']
['216', '699', '541', '728', '649']
['69', '693', '537', '832', '334']
['651', '531', '909', '233', '203']
['118', '362', '226', '446', '602']
['257', '111', '742', '776', '413']
['51', '107', '404', '132', '443']
['76', '357', '243', '271', '457']
['656', '278', '313', '611', '63']
['170', '496', '660', '530', '370']
['7', '126', '138', '219', '217']
['140', '72', '679', '667', '768']
['398', '447', '236', '709', '881']
['75', '49', '670', '471', '538']
['369', '846', '805', '307', '420']
['177', '0', '558', '734', '833']
['175', '509', '383', '863', '664']
['629', '727', '609', '44', '77']
['422', '286', '146', '870', '89']
['910', '397', '464', '765', '867']
['308', '817', '520', '350', '600']
['581', '345', '607', '849', '411']
['762', '903', '300', '476', '754']
['527', '272', '800', '635', '210']
['702', '695', '678', '912', '546']
['222', '110', '560', '653', '153']
['889', '70', '551', '331', '503']
['688', '33', '744', '814', '684']
['595', '714', '502', '279', '268']
['385', '68', '524', '630', '42']
['770', '915', '453', '616', '859']
['783', '478', '289', '161', '483']
['884', '98', '264', '348']
['180']
['845']
['562']
['786']
['628']
['579']
['789']
['152']
['310']
['328']
['623']
['223']
['282']
['618']
['355']
['26']
['737']
['363']
['212']
['376']
['838']
['34']
['856']
['28']
['189']
['259']
['674']
['37']
['566']
['730']
['84']
['772']
['384']
['671']
['839']
['462']
['852']
['474']
['5']
['569']
['861']
['559']
['622']
['196']
['301']
['287']
['30']
['516']
['412']
['807']
['40']
['366']
['454']
['784']
['712']
['378']
['532']
['826']
['6']
['314']
['663']
['644']
['580']
['716']
['705']
['796']
['82']
['394']
['160']
['803']
['12']
['587']
['202']
['415']
['608']
['181']
['285']
['733']
['804']
['902']
['104']
['821']
['352']
['419']
['208']
['359']
['448']
['173']
['27']
['798']
['336']
['250']
['639']
['755']
['114']
['555']
['159']
['544']
