['604', '699', '227', '233', '32', '357', '656', '660', '219', '542', '805', '952', '276', '817', '849', '210', '634', '684', '483', '859', '165', '533', '789', '815', '282', '355', '737', '26', '376', '838', '725']
['743', '663', '189', '674', '172', '37', '730', '270', '51', '671', '384', '332', '852', '474', '569', '1', '869', '844', '559', '150', '473', '823', '561', '638', '739', '807', '366', '697', '784', '456', '826']
['644', '705', '80', '554', '82', '918', '249', '394', '803', '232', '8', '587', '202', '608', '514', '885', '589', '415', '208', '225', '351', '661', '239', '618', '218', '801', '689', '957', '930', '639', '389']
['378', '555', '315', '114', '797', '464', '143', '775', '854', '441', '654', '62', '574', '897', '779', '880', '338', '124', '650', '127', '183', '304', '941', '162', '763', '319', '340', '665', '812', '855', '924']
['827', '525', '18', '417', '452', '214', '810', '539', '745', '250', '640', '392', '244', '192', '129', '785', '434', '295', '445', '368', '406', '100', '677', '818', '935', '858', '280', '851', '198', '43', '61']
['443', '761', '139', '792', '163', '916', '836', '553', '728', '729', '582', '69', '203', '59', '41', '74', '448', '241', '12', '776', '791', '151', '107', '900', '278', '354', '861', '516', '370', '454', '736']
['753', '667', '960', '108', '305', '55', '538', '832', '49', '307', '846', '369', '709', '558', '465', '174', '409', '193', '423', '39', '865', '160', '927', '359', '72', '768', '607', '186', '176', '688', '411']
['25', '813', '350', '312', '345', '903', '653', '264', '339', '300', '940', '751', '527', '895', '675', '800', '337', '923', '356', '70', '814', '825', '764', '141', '714', '673', '57', '266', '92', '453', '420']
['96', '624', '928', '599', '377', '959', '187', '29', '583', '577', '450', '166', '347', '619', '641', '435', '891', '831', '439', '468', '374', '938', '518', '133', '56', '381', '86', '313', '726', '498', '512']
['781', '451', '437', '358', '213', '528', '898', '22', '948', '303', '294', '774', '21', '438', '840', '432', '390', '633', '488', '9', '400', '154', '320', '506', '722', '680', '284', '149', '592', '321', '694']
['537', '342', '646', '135', '205', '290', '353', '399', '460', '704', '828', '877', '206', '862', '298', '578', '458', '440', '125', '221', '293', '164', '841', '19', '929', '48', '777', '545', '586', '594', '491']
['493', '620', '113', '240', '513', '866', '71', '740', '261', '382', '333', '118', '884', '906', '296', '908', '237', '523', '713', '926', '766', '494', '112', '934', '741', '547', '658', '758', '311', '647', '323']
['413', '31', '58', '652', '645', '945', '495', '459', '128', '130', '899', '612', '35', '874', '659', '958', '426', '155', '548', '848', '216', '204', '829', '909', '793', '431', '132', '404', '243', '695', '16']
['447', '236', '309', '134', '4', '700', '75', '627', '95', '76', '703', '795', '893', '771', '477', '509', '863', '794', '361', '248', '530', '407', '217', '7', '760', '767', '119', '222', '642', '73', '932']
