['667', '604', '644', '443', '570', '394', '148', '8', '613', '833', '197', '285', '205', '353', '399', '813', '619', '553', '348', '381', '672', '234', '582', '378', '69', '515', '143', '388', '110', '686', '123', '304', '559', '93', '486']
['753', '699', '36', '236', '513', '342', '99', '805', '175', '276', '29', '676', '583', '510', '223', '293', '314', '376', '635', '335', '74', '12', '779', '292', '523', '330', '144', '666', '516', '150', '138', '126', '119', '366', '694']
['375', '134', '18', '542', '333', '275', '54', '77', '460', '757', '25', '612', '421', '603', '163', '380', '101', '34', '300', '204', '48', '797', '111', '438', '179', '107', '794', '473', '247', '736', '13', '320', '818', '756', '61']
['283', '116', '652', '601', '291', '492', '629', '849', '727', '785', '396', '544', '350', '600', '552', '593', '458', '344', '829', '114', '586', '775', '566', '23', '302', '534', '487', '763', '387', '741', '501', '472', '186', '161', '284']
['781', '752', '169', '479', '685', '740', '415', '64', '683', '707', '295', '422', '128', '329', '173', '520', '152', '529', '315', '259', '800', '691', '398', '491', '153', '852', '5', '840', '316', '780', '669', '679', '851', '642', '73']
['253', '525', '327', '67', '58', '703', '419', '773', '509', '560', '445', '397', '704', '850', '364', '789', '393', '801', '125', '674', '749', '591', '209', '254', '569', '432', '371', '160', '334', '7', '690', '453', '402', '826', '754']
['681', '233', '413', '240', '82', '632', '349', '49', '249', '539', '94', '587', '609', '719', '100', '166', '180', '35', '379', '677', '328', '468', '621', '653', '848', '527', '448', '270', '643', '386', '814', '474', '154', '403', '592']
['220', '663', '360', '88', '660', '637', '846', '188', '734', '177', '297', '193', '459', '156', '425', '373', '363', '405', '81', '106', '837', '464', '362', '21', '384', '692', '14', '788', '340', '665', '811', '92', '546', '171', '121']
['447', '802', '567', '580', '557', '32', '410', '53', '531', '167', '219', '810', '746', '196', '127', '598', '408', '744', '141', '711', '230', '30', '78', '112', '2', '835', '79', '617', '38', '770', '506', '697', '207', '440', '575']
['451', '493', '56', '269', '528', '358', '796', '624', '189', '59', '294', '226', '700', '184', '467', '535', '51', '102', '401', '183', '390', '673', '434', '147', '157', '361', '42', '439', '807', '463', '273', '298', '229', '456', '323']
['211', '66', '227', '4', '47', '55', '538', '71', '548', '696', '256', '558', '3', '131', '762', '24', '671', '97', '331', '404', '455', '244', '87', '611', '343', '614', '524', '206', '724', '280', '783', '712', '326', '836', '212']
['717', '28', '22', '656', '545', '678', '60', '803', '140', '636', '265', '804', '608', '462', '839', '1', '191', '564', '638', '737', '536', '40', '768', '412', '739', '722', '847', '815', '420', '618', '784', '726', '26', '512', '503']
['610', '541', '108', '687', '716', '80', '272', '11', '41', '215', '382', '822', '706', '668', '745', '202', '723', '224', '194', '383', '151', '825', '33', '238', '354', '755', '268', '450', '830', '308', '195', '470', '648', '504', '808']
['216', '806', '357', '174', '774', '299', '76', '221', '232', '137', '733', '565', '771', '122', '633', '778', '759', '158', '469', '351', '488', '347', '765', '400', '407', '435', '136', '606', '289', '218', '767', '424', '518', '728', '190']
['164', '20', '489', '554', '75', '213', '214', '843', '824', '556', '832', '574', '446', '427', '508', '710', '356', '15', '550', '423', '821', '416', '115', '257', '146', '494', '605', '385', '530', '130', '828', '260', '782', '799', '98']
['537', '96', '305', '199', '279', '120', '246', '594', '365', '296', '118', '105', '91', '471', '695', '271', '16', '476', '210', '551', '267', '63', '634', '701', '684', '483', '165', '426', '317', '239', '571', '490', '607', '311', '478']
['838', '346', '751', '507', '84', '172', '37', '241', '730', '372', '772', '795', '262', '332', '576', '622', '844', '287', '301', '225', '623', '454', '823', '845', '562', '786', '628', '561', '579', '310', '282', '355', '411', '389', '842']
['743', '309', '50', '705', '306', '820', '627', '731', '251', '377', '132', '599', '281', '318', '187', '798', '242', '664', '657', '597', '819', '368', '83', '615', '661', '641', '312', '145', '6', '482', '689', '374', '831', '532', '133']
['274', '497', '481', '245', '437', '708', '10', '68', '573', '303', '307', '793', '646', '52', '750', '322', '70', '124', '286', '698', '511', '252', '457', '713', '495', '543', '853', '235', '248', '9', '680', '149', '549', '321', '747']
['159', '827', '418', '620', '113', '417', '452', '142', '526', '46', '517', '261', '369', '654', '514', '625', '181', '589', '135', '103', '392', '104', '208', '162', '533', '715', '367', '27', '522', '336', '414', '578', '639', '430', '555']
['19', '732', '436', '585', '337', '602', '31', '645', '90', '263', '485', '834', '250', '288', '682', '129', '182', '391', '168', '429', '57', '466', '406', '155', '588', '500', '345', '659', '584', '185', '761', '139', '505', '428', '198']
['729', '65', '735', '178', '725', '693', '203', '651', '709', '62', '702', '431', '255', '776', '258', '590', '791', '243', '817', '790', '766', '85', '278', '649', '313', '370', '200', '442', '496', '563', '217', '484', '498', '721', '480']
['86', '568', '675', '742', '95', '170', '465', '572', '409', '809', '277', '395', '640', '477', '290', '519', '39', '720', '44', '499', '577', '89', '738', '630', '758', '769', '718', '521', '352', '17', '45', '616', '325', '228', '662']
['109', '339', '841', '341', '626', '324', '777', '748', '475', '854', '441', '117', '0', '631', '449', '237', '338', '461', '650', '787', '764', '596', '714', '502', '595', '319', '816', '547', '581', '192', '792', '231', '444', '264', '433']
['647', '266', '812', '855', '658', '760', '359', '72', '655', '670', '176', '201', '222', '688', '540', '43']
