['781', '465', '608', '476', '755', '704', '689', '344', '947', '418', '725', '448', '151', '124', '984', '330', '869', '861', '494', '266', '617', '812', '658', '126', '818', '7', '453', '186', '161', '403', '642']
['451', '36', '554', '49', '985', '740', '131', '177', '423', '368', '158', '899', '917', '46', '282', '405', '293', '159', '34', '507', '12', '237', '224', '462', '33', '1', '42', '756', '359', '722', '949']
['537', '647', '525', '279', '866', '96', '309', '656', '660', '833', '589', '166', '578', '133', '125', '234', '315', '23', '21', '111', '302', '889', '871', '825', '701', '758', '718', '289', '192', '784', '688']
['116', '570', '587', '383', '550', '193', '902', '676', '44', '429', '165', '350', '615', '584', '916', '582', '541', '956', '691', '585', '839', '194', '894', '633', '162', '595', '385', '648', '769', '198', '799']
['644', '881', '705', '632', '538', '832', '805', '175', '297', '785', '146', '27', '939', '328', '228', '996', '834', '836', '940', '898', '84', '961', '117', '270', '196', '16', '596', '865', '561', '951', '256']
['610', '557', '742', '95', '275', '922', '514', '415', '535', '945', '664', '519', '684', '994', '195', '48', '59', '948', '822', '41', '854', '906', '864', '474', '257', '361', '442', '571', '680', '670', '712']
['592', '360', '732', '358', '685', '556', '709', '333', '249', '817', '115', '230', '147', '581', '163', '806', '444', '729', '970', '528', '50', '69', '446', '52', '292', '254', '665', '655', '201', '831', '532']
['417', '75', '349', '963', '8', '29', '104', '707', '208', '434', '78', '978', '79', '828', '619', '618', '931', '440', '649', '204', '10', '337', '122', '200', '496', '739', '935', '366', '424', '402', '43']
['375', '637', '377', '733', '485', '876', '156', '77', '765', '661', '435', '522', '874', '56', '687', '531', '226', '730', '372', '643', '880', '132', '551', '559', '666', '268', '112', '858', '119', '72', '456']
['580', '810', '914', '972', '955', '353', '238', '2', '89', '260', '152', '468', '458', '621', '553', '842', '211', '708', '964', '602', '636', '772', '890', '420', '370', '759', '13', '501', '229', '321', '973']
['604', '134', '32', '18', '357', '928', '137', '703', '601', '576', '129', '859', '397', '929', '693', '142', '631', '258', '511', '569', '744', '788', '354', '313', '319', '486', '320', '498', '121', '826', '932']
['936', '699', '796', '443', '113', '118', '804', '778', '867', '308', '641', '312', '938', '380', '802', '626', '586', '686', '110', '51', '332', '179', '262', '900', '340', '30', '807', '767', '606', '490', '954']
['4', '277', '657', '771', '459', '875', '416', '966', '863', '450', '329', '946', '191', '612', '786', '933', '310', '139', '747', '527', '436', '909', '183', '766', '638', '630', '760', '920', '783', '284', '478']
['960', '245', '283', '55', '91', '885', '710', '318', '857', '868', '562', '500', '206', '379', '723', '433', '717', '216', '838', '86', '74', '774', '993', '281', '14', '764', '248', '983', '9', '6', '782']
['743', '803', '668', '286', '727', '720', '128', '579', '659', '815', '552', '653', '348', '672', '164', '497', '184', '777', '203', '800', '749', '296', '388', '338', '844', '168', '547', '38', '915', '506', '73']
