['592', '300', '370', '184', '899', '927', '810', '628', '95', '119', '935', '760', '438', '761', '931', '404', '979', '955', '945', '728']
['290', '85', '269', '158', '675', '496', '544', '564', '545', '62', '539', '730', '606', '342', '207', '64', '919', '267', '597', '511']
['986', '238', '926', '86', '245', '929', '96', '301', '391', '856', '191', '627', '794', '775', '954', '949', '121', '968', '230', '348']
['966', '967', '87', '24', '478', '988', '997', '674', '308', '698', '140', '976', '722', '723', '377', '318', '209', '957', '297', '323']
['332', '863', '970', '699', '620', '715', '956', '938', '88', '13', '312', '463', '783', '643', '362', '490', '851', '712', '424', '548']
['380', '672', '669', '604', '28', '225', '84', '436', '12', '654', '206', '449', '522', '427', '176', '137', '534', '364', '415', '444']
['14', '869', '580', '418', '399', '884', '513', '719', '983', '233', '349', '373', '933', '607', '914', '880', '5', '721', '250', '882']
['1', '146', '150', '732', '437', '830', '823', '531', '835', '357', '26', '641', '501', '965', '811', '273', '8', '959', '224', '799']
['555', '622', '309', '313', '725', '112', '759', '60', '210', '299', '789', '762', '514', '706', '102', '194', '458', '576', '575', '640']
['211', '543', '900', '257', '178', '18', '106', '494', '30', '872', '950', '741', '165', '594', '779', '989', '999', '883', '181', '790']
['974', '51', '128', '80', '283', '464', '467', '214', '738', '800', '189', '858', '891', '601', '291', '97', '916', '834', '455', '962']
['667', '182', '368', '227', '700', '485', '303', '25', '520', '602', '812', '964', '365', '17', '734', '197', '179', '149', '629', '433']
['384', '314', '610', '502', '663', '837', '757', '917', '678', '660', '631', '284', '482', '414', '552', '689', '671', '695', '873', '682']
['947', '707', '839', '32', '443', '866', '213', '786', '843', '126', '887', '579', '152', '131', '952', '505', '589', '551', '825', '842']
['596', '278', '634', '44', '396', '647', '10', '782', '71', '54', '637', '40', '320', '850', '3', '686', '593', '733', '903', '276']
['109', '343', '881', '861', '147', '687', '324', '385', '854', '865', '172', '154', '619', '758', '704', '517', '684', '155', '831', '43']
['122', '63', '376', '875', '434', '499', '77', '763', '614', '355', '665', '38', '421', '58', '280', '222', '175', '286', '331', '183']
['316', '141', '788', '711', '925', '78', '48', '845', '219', '76', '359', '942', '153', '336', '645', '646', '123', '292', '642', '849']
['771', '560', '953', '705', '937', '844', '55', '853', '120', '696', '562', '990', '709', '749', '23', '251', '833', '998', '363', '987']
