['495', '205', '33', '219', '788']
['704', '875', '993', '553', '413']
['754', '261', '439', '929', '247']
['803', '97', '969', '994', '860']
['509', '519', '444', '218', '88']
['603', '371', '233', '43', '305']
['992', '533', '549', '351', '35']
['69', '926', '50', '395', '239']
['724', '390', '354', '176', '516']
['241', '900', '923', '512', '517']
['170', '726', '750', '884', '496']
['559', '896', '814', '138', '977']
['467', '252', '487', '924', '437']
['45', '282', '383', '855', '560']
['641', '153', '18', '763', '702']
['117', '502', '968', '771', '831']
['938', '632', '804', '618', '333']
['464', '116', '652', '98', '971']
['272', '435', '984', '914', '407']
['634', '720', '963', '215', '372']
['13', '229', '301', '455', '431']
['82', '564', '368', '470', '268']
['477', '991', '582', '805', '613']
['11', '243', '874', '813', '61']
['332', '949', '685', '898', '558']
['167', '980', '280', '565', '426']
['286', '957', '127', '642', '951']
['479', '946', '518', '908', '178']
['469', '606', '419', '940', '393']
['918', '779', '213', '386', '503']
['614', '981', '231', '693', '829']
['314', '163', '63', '666', '550']
['623', '883', '962', '161', '132']
['151', '92', '461', '520', '809']
['173', '209', '353', '998', '91']
['719', '208', '988', '96', '322']
['197', '678', '8', '364', '39']
['639', '211', '181', '551', '891']
['189', '802', '723', '920', '306']
['108', '865', '709', '973', '408']
['708', '385', '690', '995', '798']
['573', '636', '296', '707', '140']
['355', '430', '660', '235', '89']
['588', '610', '897', '254', '528']
['867', '935', '68', '315', '535']
['807', '710', '73', '99', '716']
['64', '194', '362', '621', '483']
['175', '224', '462', '999', '299']
['460', '122', '739', '882', '497']
['778', '263', '452', '486', '657']
['358', '361', '326', '764', '857']
['335', '593', '94', '534', '246']
['858', '523', '679', '714', '637']
['277', '340', '695', '186', '329']
['275', '0', '554', '658', '862']
['768', '887', '532', '195', '210']
['107', '777', '60', '230', '423']
['825', '72', '260', '160', '494']
['398', '366', '482', '12', '765']
['783', '292', '220', '133', '595']
['625', '10', '436', '841', '756']
['913', '271', '684', '599', '552']
['316', '234', '607', '586', '772']
['910', '58', '899', '327', '62']
['890', '950', '129', '566', '415']
['274', '330', '864', '350', '420']
['225', '1', '925', '795', '619']
['158', '729', '21', '258', '115']
['773', '276', '986', '694', '406']
['835', '854', '100', '448', '283']
['895', '574', '996', '958', '157']
['484', '917', '703', '775', '876']
['112', '352', '698', '633', '391']
['139', '672', '44', '598', '147']
['49', '871', '475', '638', '601']
['983', '933', '349', '466', '828']
['357', '281', '79', '336', '226']
['608', '341', '727', '321', '859']
['114', '663', '838', '198', '257']
['451', '505', '797', '373', '150']
['515', '23', '9', '412', '242']
['744', '472', '808', '843', '421']
['743', '337', '6', '36', '861']
['2', '616', '267', '612', '578']
['818', '728', '392', '331', '473']
['931', '545', '541', '310', '248']
['759', '579', '688', '471', '134']
['256', '531', '130', '105', '128']
['312', '491', '584', '367', '622']
['34', '118', '71', '615', '697']
['581', '936', '427', '789', '753']
['200', '869', '975', '868', '442']
['308', '238', '903', '438', '840']
['463', '784', '425', '548', '77']
['270', '526', '834', '522', '168']
['375', '563', '647', '687', '810']
['689', '401', '250', '317', '414']
['626', '165', '446', '344', '57']
['293', '124', '7', '609', '766']
['906', '447', '504', '307', '941']
['410', '290', '376', '86', '640']
['402', '580', '432', '751', '46']
['75', '792', '266', '967', '159']
['22', '602', '734', '927', '190']
['889', '510', '939', '103', '706']
['905', '145', '65', '85', '567']
['572', '675', '196', '389', '199']
['468', '121', '692', '269', '904']
['48', '811', '498', '294', '888']
['770', '699', '562', '409', '837']
['530', '360', '490', '824', '148']
['53', '203', '169', '304', '919']
['40', '821', '278', '474', '870']
['177', '683', '328', '428', '605']
['722', '934', '576', '646', '786']
['223', '879', '852', '52', '665']
['3', '485', '643', '245', '661']
['769', '404', '817', '5', '737']
['93', '671', '547', '55', '964']
['848', '956', '14', '309', '311']
['527', '555', '20', '815', '90']
['66', '544', '298', '677', '59']
['730', '717', '514', '997', '387']
['954', '295', '206', '183', '987']
['978', '947', '201', '542', '508']
['911', '628', '41', '303', '635']
['4', '979', '227', '691', '478']
