['245', '632', '116', '542', '740', '570', '131', '645', '676', '564', '612', '298', '444', '389', '314', '164', '335', '696', '702', '749', '631', '302', '462', '267', '289', '414', '546', '484', '642', '662']
['743', '66', '108', '517', '333', '95', '99', '202', '601', '629', '181', '727', '483', '440', '653', '649', '693', '259', '448', '23', '362', '698', '63', '673', '83', '412', '334', '176', '697', '256']
['705', '700', '214', '232', '377', '519', '368', '391', '89', '397', '166', '520', '348', '717', '541', '215', '59', '651', '337', '572', '706', '110', '52', '543', '85', '57', '530', '561', '403', '411']
['452', '213', '327', '0', '652', '427', '383', '423', '244', '661', '317', '45', '639', '274', '81', '211', '293', '184', '675', '209', '24', '551', '474', '278', '516', '200', '563', '222', '171', '43']
['220', '610', '525', '283', '624', '539', '94', '187', '242', '129', '560', '146', '615', '482', '20', '300', '142', '37', '388', '265', '338', '151', '107', '292', '281', '744', '257', '400', '161', '425']
['134', '113', '358', '656', '365', '251', '276', '39', '396', '614', '180', '552', '505', '344', '264', '159', '234', '60', '74', '117', '241', '686', '534', '179', '714', '669', '387', '547', '506', '17']
['447', '236', '82', '53', '71', '58', '297', '87', '191', '500', '584', '677', '426', '207', '747', '204', '189', '585', '654', '508', '665', '248', '496', '9', '741', '486', '38', '280', '607', '186']
['681', '279', '513', '120', '49', '76', '170', '409', '710', '54', '598', '477', '406', '689', '363', '212', '101', '341', '748', '70', '271', '162', '371', '157', '690', '606', '472', '679', '119', '565']
['169', '253', '538', '307', '742', '8', '608', '285', '135', '684', '308', '100', '312', '659', '125', '378', '339', '708', '324', '671', '569', '666', '611', '138', '571', '670', '201', '402', '688', '503']
['667', '537', '735', '716', '240', '55', '275', '668', '103', '495', '182', '295', '350', '628', '325', '433', '515', '436', '464', '226', '731', '682', '596', '721', '168', '367', '638', '185', '424', '121']
['479', '465', '137', '746', '91', '613', '733', '419', '720', '399', '2', '445', '577', '450', '510', '364', '430', '216', '86', '626', '431', '446', '449', '51', '711', '370', '217', '92', '680', '149']
['360', '246', '18', '732', '249', '140', '646', '318', '29', '147', '225', '130', '25', '421', '260', '439', '47', '591', '123', '224', '523', '713', '316', '340', '595', '488', '617', '524', '478', '73']
['437', '349', '382', '255', '558', '90', '175', '210', '634', '619', '468', '549', '723', '728', '507', '527', '526', '586', '441', '590', '102', '97', '243', '5', '33', '254', '141', '354', '648', '498']
['269', '178', '357', '467', '415', '509', '238', '707', '290', '533', '600', '435', '428', '223', '458', '518', '548', '221', '729', '635', '602', '559', '701', '361', '655', '722', '229', '321', '694', '61']
['65', '443', '75', '745', '625', '15', '250', '470', '581', '618', '379', '152', '282', '593', '381', '567', '34', '687', '114', '531', '303', '11', '566', '398', '356', '650', '408', '442', '231', '198']
['663', '32', '554', '88', '68', '31', '734', '599', '485', '422', '588', '345', '575', '568', '48', '674', '299', '594', '270', '262', '194', '144', '301', '633', '30', '150', '93', '320', '456', '540']
['644', '557', '96', '573', '188', '177', '416', '329', '351', '738', '206', '393', '228', '405', '346', '725', '41', '730', '372', '384', '390', '235', '494', '623', '407', '658', '40', '536', '273', '453']
['309', '394', '637', '219', '535', '640', '609', '429', '158', '719', '460', '310', '139', '355', '469', '480', '376', '28', '491', '643', '196', '597', '502', '287', '319', '13', '366', '616', '311', '323']
['375', '4', '167', '685', '709', '369', '471', '587', '492', '64', '576', '657', '77', '466', '128', '35', '522', '529', '46', '328', '497', '199', '545', '263', '127', '457', '160', '72', '521', '512']
['118', '342', '197', '550', '664', '104', '115', '583', '715', '641', '336', '163', '155', '26', '737', '555', '380', '69', '438', '111', '132', '332', '695', '16', '42', '266', '463', '359', '504', '592']
['699', '227', '620', '80', '627', '174', '277', '291', '476', '392', '353', '156', '44', '195', '145', '133', '56', '109', '106', '691', '294', '636', '404', '454', '630', '126', '718', '420', '192', '252']
['413', '556', '105', '459', '208', '434', '78', '165', '347', '27', '481', '19', '528', '50', '84', '22', '315', '475', '143', '678', '153', '461', '401', '692', '343', '736', '154', '352', '136', '726']
['451', '305', '410', '417', '703', '286', '193', '683', '79', '373', '562', '239', '374', '326', '553', '582', '418', '62', '21', '124', '331', '14', '288', '1', '112', '385', '739', '501', '647', '98']
['493', '233', '261', '660', '148', '67', '322', '205', '230', '499', '173', '704', '603', '579', '218', '578', '272', '203', '172', '12', '296', '258', '183', '432', '473', '605', '313', '6', '490', '190']
['604', '36', '580', '306', '3', '514', '589', '395', '544', '724', '621', '455', '672', '489', '10', '574', '386', '237', '487', '330', '304', '511', '122', '622', '247', '268', '7', '284', '712', '532']
