['620', '413', '82', '261', '327', '558', '276', '509', '499', '719', '628', '883', '639', '947', '324', '824', '686', '243', '127', '340', '496', '463', '472', '521', '784']
['253', '985', '193', '664', '707', '684', '78', '422', '564', '904', '828', '435', '374', '930', '389', '314', '274', '497', '691', '491', '281', '33', '320', '722', '532']
['827', '256', '116', '219', '3', '805', '683', '966', '483', '978', '195', '933', '207', '326', '992', '729', '528', '651', '650', '944', '387', '268', '403', '192', '647']
['667', '140', '514', '746', '893', '860', '857', '882', '835', '757', '191', '845', '345', '887', '584', '728', '204', '725', '215', '462', '511', '692', '502', '561', '289']
['656', '709', '810', '250', '727', '379', '50', '73', '12', '398', '787', '744', '343', '878', '901', '983', '865', '756', '40', '13', '767', '484', '831', '688', '826']
['580', '705', '997', '437', '796', '804', '849', '588', '45', '938', '723', '621', '582', '19', '912', '62', '779', '386', '984', '790', '1', '714', '390', '669', '456']
['80', '452', '129', '146', '867', '738', '619', '298', '552', '991', '430', '962', '905', '441', '730', '153', '356', '401', '494', '442', '93', '769', '811', '721', '694']
['134', '96', '232', '137', '415', '419', '598', '225', '260', '815', '282', '903', '737', '808', '841', '143', '731', '793', '247', '57', '506', '161', '972', '949', '726']
['735', '928', '625', '15', '629', '657', '981', '426', '293', '777', '436', '209', '839', '474', '764', '543', '371', '540', '823', '690', '606', '607', '420', '478', '853']
['233', '245', '108', '120', '832', '599', '896', '353', '755', '609', '612', '877', '393', '505', '940', '114', '111', '799', '316', '611', '630', '217', '229', '121', '323']
['32', '632', '539', '131', '450', '533', '351', '578', '469', '649', '489', '526', '674', '961', '545', '299', '706', '993', '698', '122', '605', '547', '536', '453', '642']
['752', '227', '716', '333', '99', '535', '423', '244', '311', '931', '163', '155', '440', '341', '258', '265', '52', '292', '330', '569', '408', '319', '72', '907', '851']
['743', '732', '181', '771', '641', '976', '761', '428', '468', '996', '837', '335', '22', '568', '854', '879', '241', '446', '151', '254', '701', '7', '414', '222', '321']
['375', '557', '410', '409', '318', '798', '876', '477', '875', '100', '378', '164', '272', '797', '142', '74', '774', '585', '449', '263', '695', '736', '42', '770', '402']
['960', '188', '251', '205', '368', '295', '130', '593', '355', '216', '693', '41', '678', '999', '21', '864', '871', '457', '890', '900', '412', '366', '490', '186', '198']
['220', '309', '174', '118', '652', '471', '703', '952', '817', '974', '89', '715', '544', '813', '724', '873', '987', '842', '159', '300', '775', '643', '571', '858', '98']
['306', '53', '872', '685', '637', '342', '90', '2', '874', '223', '819', '970', '687', '48', '515', '586', '14', '633', '30', '454', '855', '119', '783', '782', '411']
['360', '627', '68', '803', '170', '465', '886', '197', '720', '910', '510', '173', '317', '336', '659', '481', '572', '270', '590', '880', '257', '168', '486', '807', '171']
['644', '305', '846', '0', '8', '645', '833', '677', '328', '967', '418', '346', '800', '226', '888', '23', '231', '224', '487', '766', '278', '861', '759', '980', '503']
['283', '742', '587', '608', '175', '156', '44', '520', '27', '500', '581', '482', '653', '717', '184', '956', '654', '791', '107', '869', '794', '516', '313', '648', '352']
['75', '214', '394', '277', '640', '392', '562', '347', '350', '239', '206', '850', '579', '750', '555', '929', '594', '671', '301', '266', '501', '718', '965', '273', '932']
['269', '349', '942', '187', '242', '397', '373', '145', '139', '444', '20', '988', '315', '635', '696', '438', '889', '183', '288', '943', '488', '385', '160', '758', '616']
['358', '467', '427', '202', '773', '946', '891', '26', '433', '405', '631', '302', '262', '384', '179', '24', '597', '16', '622', '934', '157', '915', '818', '954', '424']
['604', '36', '538', '71', '660', '249', '255', '795', '733', '285', '208', '180', '228', '806', '856', '189', '259', '203', '461', '123', '70', '596', '666', '425', '190']
['663', '892', '382', '58', '560', '391', '445', '899', '661', '603', '789', '152', '364', '56', '234', '909', '776', '271', '267', '85', '595', '617', '812', '149', '995']
['451', '699', '443', '357', '556', '49', '369', '734', '377', '998', '550', '416', '801', '221', '211', '86', '626', '47', '948', '60', '566', '897', '97', '989', '662']
['937', '365', '91', '809', '745', '589', '955', '103', '230', '848', '69', '527', '388', '144', '432', '63', '788', '287', '844', '763', '359', '680', '920', '284', '498']
['610', '950', '740', '95', '492', '495', '182', '859', '312', '46', '518', '541', '829', '749', '591', '51', '332', '919', '825', '894', '150', '138', '334', '973', '61']
['753', '781', '236', '178', '820', '843', '291', '39', '329', '308', '470', '957', '916', '125', '575', '895', '748', '964', '196', '338', '852', '840', '367', '92', '884']
['542', '570', '148', '613', '286', '297', '902', '577', '158', '460', '765', '133', '548', '363', '339', '34', '10', '822', '132', '9', '739', '136', '185', '546', '592']
['169', '279', '246', '167', '914', '29', '104', '128', '614', '786', '939', '553', '838', '708', '303', '448', '534', '235', '623', '638', '658', '126', '400', '768', '847']
['936', '537', '681', '240', '213', '982', '94', '576', '210', '290', '115', '778', '583', '166', '522', '480', '507', '404', '551', '814', '304', '559', '953', '951', '252']
['493', '66', '447', '525', '881', '554', '624', '55', '307', '517', '275', '710', '383', '238', '785', '434', '77', '87', '836', '380', '376', '567', '802', '574', '6']
['911', '513', '417', '700', '88', '573', '975', '971', '668', '821', '994', '615', '921', '834', '381', '990', '602', '906', '362', '908', '102', '523', '124', '361', '112']
['18', '866', '479', '31', '76', '601', '322', '885', '64', '54', '135', '485', '399', '870', '165', '79', '109', '101', '199', '172', '110', '141', '673', '154', '176']
['65', '113', '922', '963', '177', '863', '459', '676', '868', '925', '429', '147', '406', '917', '35', '862', '212', '264', '11', '702', '431', '923', '665', '563', '741']
['4', '918', '67', '646', '945', '476', '395', '466', '704', '325', '689', '792', '81', '84', '37', '977', '296', '762', '711', '524', '407', '38', '670', '201', '712']
['959', '396', '421', '600', '310', '344', '751', '106', '898', '531', '475', '508', '194', '331', '5', '682', '941', '986', '780', '83', '200', '830', '927', '565', '512']
['672', '59', '675', '294', '337', '117', '636', '372', '105', '772', '237', '348', '634', '354', '370', '530', '760', '655', '618', '280', '679', '458', '979', '969', '747']
['28', '464', '713', '504', '455', '926', '519', '162', '473', '248', '816', '439', '25', '924', '935', '754', '958', '218', '529', '697', '17', '913', '549', '968', '43']
