['604', '881', '705', '4', '417', '305', '627', '213', '118', '746', '377', '177', '684', '397', '166', '195', '312', '921', '873', '649', '567', '898', '69', '961', '691', '824', '912', '779', '449', '839', '695', '271', '790', '1', '361', '536', '858', '273', '973', '503']
['699', '269', '96', '245', '394', '539', '637', '3', '8', '342', '492', '955', '817', '598', '966', '778', '867', '704', '520', '470', '615', '27', '350', '976', '761', '862', '480', '164', '651', '772', '713', '869', '30', '516', '248', '268', '138', '92', '252', '932']
['911', '781', '227', '580', '410', '950', '632', '214', '369', '734', '795', '476', '29', '876', '504', '146', '128', '79', '308', '345', '505', '967', '653', '418', '106', '751', '431', '631', '386', '265', '993', '267', '900', '844', '617', '524', '847', '783', '831', '532']
['451', '667', '36', '233', '309', '997', '554', '71', '709', '249', '514', '286', '609', '676', '583', '835', '35', '584', '659', '152', '689', '883', '163', '842', '555', '20', '527', '436', '678', '730', '461', '24', '194', '404', '926', '711', '901', '407', '769', '851']
['220', '253', '716', '32', '75', '167', '982', '745', '415', '707', '182', '785', '995', '336', '815', '939', '310', '903', '518', '212', '729', '189', '272', '797', '209', '179', '124', '692', '243', '894', '287', '200', '736', '983', '385', '547', '807', '403', '721', '968']
['827', '732', '240', '357', '452', '31', '170', '914', '535', '383', '297', '103', '416', '499', '165', '180', '239', '500', '877', '578', '207', '723', '339', '777', '132', '123', '107', '457', '122', '622', '953', '794', '313', '235', '359', '811', '289', '231', '884', '411']
['537', '796', '467', '656', '556', '660', '255', '275', '67', '181', '187', '244', '634', '727', '89', '917', '738', '845', '260', '482', '639', '750', '717', '10', '531', '731', '643', '889', '401', '330', '316', '924', '658', '217', '768', '606', '6', '521', '670', '321']
['936', '65', '360', '306', '866', '542', '646', '409', '291', '625', '64', '285', '773', '238', '560', '925', '444', '264', '747', '109', '216', '829', '22', '324', '142', '888', '398', '302', '864', '97', '825', '33', '254', '162', '157', '13', '136', '784', '980', '478']
['447', '108', '246', '413', '735', '975', '843', '587', '91', '90', '710', '104', '429', '577', '191', '789', '836', '497', '315', '48', '854', '303', '964', '241', '923', '110', '196', '871', '487', '511', '5', '780', '861', '150', '934', '855', '490', '424', '425', '540']
['236', '80', '820', '443', '382', '137', '251', '202', '733', '683', '396', '391', '78', '904', '938', '549', '405', '992', '293', '672', '929', '990', '448', '702', '636', '263', '70', '127', '14', '665', '494', '816', '83', '741', '648', '927', '367', '160', '972', '694']
['743', '918', '538', '88', '832', '928', '95', '140', '471', '44', '295', '422', '25', '786', '600', '364', '218', '325', '931', '228', '991', '957', '930', '916', '819', '19', '59', '74', '446', '111', '787', '559', '63', '878', '673', '247', '112', '563', '758', '853']
