['109', '143', '327', '910', '886', '955', '311', '24', '743', '455', '959', '512', '259', '847', '637', '444', '916', '495', '727', '203']
['683', '425', '197', '770', '630', '597', '124', '468', '192', '720', '111', '965', '553', '438', '944', '0', '88', '544', '494', '123']
['954', '906', '92', '133', '578', '898', '128', '46', '933', '843', '75', '478', '582', '981', '183', '515', '783', '873', '267', '287']
['552', '881', '146', '457', '786', '368', '426', '585', '857', '411', '669', '500', '340', '207', '70', '129', '709', '632', '513', '712']
['832', '825', '763', '737', '22', '397', '215', '458', '462', '79', '371', '376', '678', '45', '894', '882', '159', '149', '802', '603']
['188', '93', '850', '211', '974', '746', '427', '659', '648', '120', '281', '399', '541', '571', '350', '588', '806', '782', '160', '299']
['983', '27', '516', '929', '777', '501', '72', '609', '456', '34', '479', '216', '627', '534', '19', '788', '435', '387', '405', '491']
['247', '779', '971', '492', '502', '119', '526', '464', '519', '452', '976', '157', '142', '370', '434', '723', '105', '999', '631', '3']
['422', '53', '187', '506', '319', '849', '884', '997', '127', '834', '961', '428', '619', '658', '734', '90', '532', '445', '803', '950']
['256', '303', '584', '612', '621', '677', '537', '308', '652', '736', '565', '528', '112', '139', '296', '878', '994', '114', '196', '523']
['717', '49', '170', '39', '988', '87', '1', '842', '592', '185', '429', '191', '26', '446', '761', '520', '64', '744', '291', '168']
['300', '714', '715', '755', '821', '946', '28', '973', '581', '12', '424', '901', '29', '920', '498', '208', '33', '569', '496', '593']
['594', '656', '95', '665', '74', '905', '377', '826', '418', '141', '414', '617', '568', '668', '662', '177', '732', '268', '285', '178']
['586', '317', '219', '719', '799', '63', '474', '877', '471', '393', '420', '686', '233', '805', '410', '305', '590', '37', '264', '923']
['147', '361', '272', '68', '599', '670', '550', '322', '935', '365', '136', '664', '687', '767', '829', '589', '352', '195', '707', '784']
['804', '373', '310', '202', '9', '381', '226', '442', '892', '781', '227', '351', '274', '555', '667', '679', '15', '828', '695', '174']
['840', '601', '131', '433', '16', '416', '465', '824', '823', '240', '221', '835', '41', '540', '844', '338', '861', '343', '184', '808']
['360', '641', '84', '18', '292', '237', '539', '907', '470', '234', '249', '626', '728', '613', '313', '948', '475', '872', '647', '304']
['20', '771', '895', '986', '867', '600', '134', '914', '654', '839', '228', '344', '531', '417', '172', '853', '25', '328', '765', '171']
['263', '97', '536', '657', '982', '899', '796', '800', '487', '331', '606', '700', '298', '481', '926', '179', '10', '406', '557', '295']
['887', '503', '392', '756', '966', '812', '135', '230', '61', '992', '155', '186', '769', '758', '993', '798', '89', '820', '524', '725']
['505', '395', '78', '556', '517', '43', '252', '104', '476', '625', '530', '355', '559', '132', '280', '378', '466', '485', '162', '169']
['396', '754', '831', '118', '704', '55', '330', '379', '663', '460', '175', '402', '634', '449', '284', '638', '987', '889', '289', '80']
['242', '217', '863', '814', '807', '163', '145', '137', '794', '689', '885', '602', '176', '297', '693', '388', '231', '260', '742', '620']
['158', '551', '563', '598', '384', '819', '407', '661', '510', '792', '917', '437', '671', '718', '66', '321', '645', '646', '572', '122']
['447', '561', '482', '862', '870', '752', '975', '493', '855', '605', '624', '161', '967', '750', '567', '42', '283', '318', '772', '701']
['753', '369', '666', '649', '757', '472', '787', '489', '964', '703', '639', '469', '643', '979', '246', '791', '685', '359', '547', '969']
['913', '957', '394', '562', '691', '423', '91', '868', '254', '290', '273', '977', '633', '660', '461', '364', '348', '390', '60', '40']
['640', '199', '463', '341', '570', '956', '354', '448', '922', '271', '815', '875', '467', '909', '937', '908', '401', '776', '655', '827']
['126', '653', '431', '927', '106', '339', '62', '453', '269', '583', '153', '213', '243', '735', '404', '943', '902', '721', '990', '8']
['419', '200', '47', '521', '356', '103', '931', '17', '628', '947', '180', '773', '342', '332', '484', '415', '386', '257', '23', '193']
['622', '936', '239', '336', '702', '644', '366', '403', '949', '722', '76', '713', '775', '938', '841', '504', '382', '236', '314', '535']
['206', '697', '2', '102', '616', '879', '346', '688', '32', '363', '85', '984', '890', '591', '789', '50', '611', '98', '978', '740']
['546', '130', '810', '251', '795', '152', '958', '514', '692', '731', '4', '353', '276', '181', '110', '164', '486', '115', '579', '357']
['173', '101', '864', '859', '883', '56', '876', '924', '451', '261', '674', '705', '650', '81', '167', '301', '430', '896', '241', '963']
['83', '156', '94', '930', '223', '473', '324', '67', '911', '282', '960', '846', '538', '51', '854', '509', '140', '845', '858', '642']
['7', '5', '608', '548', '682', '11', '934', '77', '673', '450', '768', '262', '529', '972', '400', '38', '852', '527', '545', '522']
['856', '684', '201', '337', '952', '220', '31', '73', '121', '817', '780', '564', '554', '543', '21', '488', '614', '372', '574', '497']
['54', '205', '459', '985', '48', '189', '6', '408', '96', '903', '398', '699', '968', '635', '766', '573', '166', '288', '891', '99']
['212', '511', '811', '293', '748', '991', '100', '785', '286', '248', '214', '278', '507', '675', '204', '739', '760', '897', '918', '680']
['888', '333', '989', '250', '672', '490', '238', '383', '764', '358', '629', '255', '813', '518', '477', '480', '596', '710', '919', '334']
['747', '580', '86', '253', '150', '508', '117', '232', '577', '209', '320', '738', '575', '749', '696', '218', '676', '866', '483', '347']
['224', '762', '566', '349', '893', '925', '270', '245', '595', '374', '325', '113', '309', '980', '940', '525', '533', '222', '998', '711']
['871', '279', '258', '210', '801', '323', '266', '52', '874', '312', '294', '941', '14', '708', '375', '421', '306', '822', '165', '345']
['244', '275', '108', '751', '726', '443', '716', '380', '724', '932', '607', '651', '362', '610', '329', '558', '560', '730', '836', '277']
['116', '837', '36', '774', '681', '636', '125', '549', '838', '265', '65', '833', '59', '198', '44', '818', '154', '615', '745', '970']
['851', '35', '953', '848', '440', '869', '759', '576', '729', '880', '830', '194', '235', '939', '367', '587', '307', '542', '316', '302']
['995', '912', '409', '138', '604', '13', '144', '436', '860', '30', '915', '865', '412', '951', '107', '618', '225', '335', '151', '391']
['690', '741', '499', '928', '69', '921', '962', '326', '58', '439', '82', '413', '698', '623', '385', '790', '389', '441', '182', '432']
['706', '733', '148', '945', '942', '900', '904', '454', '996', '793', '57', '315', '71', '229', '190', '816', '778', '694', '797', '809']
